,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-02 23:59:58+00:00,"RT @AnonFuryInter: Grupo de Mercenarios Norteamericanos con el brazalete del Batallón Azov, hacen presencia en Ucrania...
Gasolina pura en…", grupo de mercenarios norteamericanos con el brazalete del batall n azov  hacen presencia en ucrania    gasolina pura en ,es,0,23,2010-01-26 16:16:09+00:00,308,False,3164,Cali - Colombia,
1,2022-03-02 23:59:56+00:00,"RT @Carloslopezjone: El precio del petróleo sigue subiendo…
.
¿Qué hará ⁦@lopezobrador_⁩ con el precio de la gasolina ⛽️?
.
Opciones 
.
1.…", el precio del petr leo sigue subiendo     qu  har       con el precio de la gasolina       opciones    1  ,es,0,49,2021-02-12 05:32:25+00:00,362,False,26691,"Villahermosa, Tabasco",
2,2022-03-02 23:59:56+00:00,⛽🤔 ¿Sabe cómo ahorrar gasolina? Lo primero que debe tener en cuenta es el control racional del pedal del acelerador. Acá le explicamos y entregamos consejos ↓ https://t.co/DAeTl8qkdq,    sabe c mo ahorrar gasolina  lo primero que debe tener en cuenta es el control racional del pedal del acelerador  ac  le explicamos y entregamos consejos    ,es,13,13,2007-10-23 20:03:24+00:00,7816615,True,12377,"Bogotá, Colombia",
3,2022-03-02 23:59:55+00:00,⛽🤔 ¿Sabe cómo ahorrar gasolina? Lo primero que debe tener en cuenta es el control racional del pedal del acelerador. Acá le explicamos y entregamos consejos ↓ https://t.co/D80tijMkM7,    sabe c mo ahorrar gasolina  lo primero que debe tener en cuenta es el control racional del pedal del acelerador  ac  le explicamos y entregamos consejos    ,es,7,5,2009-05-19 15:41:01+00:00,3266174,True,4864,Bogotá,
4,2022-03-02 23:59:45+00:00,"@JuanFBI No tiene este gasolina, después de correr todo el psrtido.. incansable @hugoduro14",  no tiene este gasolina  despu s de correr todo el psrtido   incansable  ,es,1,0,2014-08-14 01:14:44+00:00,76,False,2735,,
5,2022-03-02 23:59:45+00:00,@CarlosVerareal @LassoGuillermo @PoliciaEcuador Todo gasto debe ser justificado pregunto es tal difícil hacer presupuesto (proyecto)de gasolina x tantos vehículos vs tantos kms de recorrido...ahí se los dejo deber para mañana,      todo gasto debe ser justificado pregunto es tal dif cil hacer presupuesto  proyecto de gasolina x tantos veh culos vs tantos kms de recorrido   ah  se los dejo deber para ma ana,es,0,0,2012-12-06 17:44:20+00:00,67,False,5862,Portland OR.,
6,2022-03-02 23:59:43+00:00,RT @hreynosod: ¿Las pérdidas multimillonarias de Pemex de 2018 para acá también se las quieren colgar a Calderón? ¿No iba a rescatar la Sob…,  las p rdidas multimillonarias de pemex de 2018 para ac  tambi n se las quieren colgar a calder n   no iba a rescatar la sob ,es,0,470,2021-07-22 14:11:33+00:00,202,False,15918,,
7,2022-03-02 23:59:35+00:00,"RT @EmpresarioVox: MANIFESTACIÓN SÁBADO 5 DE MARZO‼

Este sábado tendrá lugar en Madrid la manifestación para protestar por los elevados pr…", manifestaci n s bado 5 de marzo   este s bado tendr  lugar en madrid la manifestaci n para protestar por los elevados pr ,es,0,406,2017-10-20 18:58:52+00:00,4848,False,140610,calculando ruta...,
12,2022-03-02 23:59:23+00:00,@Ovi_Master Creía que a todo el mundo le gustaba el olor a gasolina xD,  master cre a que a todo el mundo le gustaba el olor a gasolina xd,es,0,0,2009-03-04 22:17:24+00:00,306,False,116481,Móstoles /Tenerife,
13,2022-03-02 23:59:08+00:00,"RT @TiempoRealEC: 🔴 .#ATENCION 
🔴Desde el 12 de marzo, la gasolina súper costará USD 4,00, incluso, podría llegar a USD 4,20.
🔴Buena notici…",     atencion   desde el 12 de marzo  la gasolina s per costar  usd 4 00  incluso  podr a llegar a usd 4 20   buena notici ,es,0,201,2011-06-22 20:39:11+00:00,184,False,5268,quito,
14,2022-03-02 23:59:05+00:00,"RT @ShungoDoctor: Yo vivo en un país en guerra, te matan en las calles de Guayaquil, masacran en las cárceles, se te caen las montañas en L…", yo vivo en un pa s en guerra  te matan en las calles de guayaquil  masacran en las c rceles  se te caen las monta as en l ,es,0,311,2011-03-25 02:47:41+00:00,318,False,79398,Latinoamerica,
