,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-04 23:59:59+00:00,"RT @sergiosayas: La luz alcanza los 400 euros. 

El gasoil y la gasolina van camino de llegar a 2 euros\litro. 

El gas, los alimentos...…", la luz alcanza los 400 euros    el gasoil y la gasolina van camino de llegar a 2 euros litro    el gas  los alimentos    ,es,0,1415,2015-06-29 16:52:31+00:00,1161,False,92548,Entre el Foro y el Paraiso,
1,2022-03-04 23:59:58+00:00,"RT @heptalquimista: El home office permitió a muchos hacer lo impensable: comer con la familia, salir al parque entre semana, jugar con las…", el home office permiti  a muchos hacer lo impensable  comer con la familia  salir al parque entre semana  jugar con las ,es,0,6326,2009-09-01 19:07:15+00:00,1000,False,139280,México,
2,2022-03-04 23:59:57+00:00,"RT @JJRuiz791: Pronto pagaremos la gasolina a más de 2 euros,  y los sindicatos calladitos! 
Y hace poco se manifestaban por las votaciones…", pronto pagaremos la gasolina a m s de 2 euros   y los sindicatos calladitos   y hace poco se manifestaban por las votaciones ,es,0,2062,2011-02-13 19:12:50+00:00,881,False,46256,Benidorm,
3,2022-03-04 23:59:55+00:00,"RT @martaurgellesg: En las últimas 48h: la luz llega a los 400€ el MWh, el precio de la gasolina en máximos históricos, Melilla sufre el as…", en las  ltimas 48h  la luz llega a los 400  el mwh  el precio de la gasolina en m ximos hist ricos  melilla sufre el as ,es,0,4274,2011-06-20 23:49:12+00:00,80,False,24,,
4,2022-03-04 23:59:48+00:00,"RT @PonchoGutz: ""Sí chairos, con su mesías la gasolina subió un 4% y con Peña subió 45%, pero López prometió que costaría $10, lo que moles…",  s  chairos  con su mes as la gasolina subi  un 4  y con pe a subi  45   pero l pez prometi  que costar a  10  lo que moles ,es,0,546,2021-01-14 01:20:34+00:00,95,False,8160,,
5,2022-03-04 23:59:47+00:00,"@AliRubioGlez Pronto??? Ya se nota el alza de combustible en Canada, en British Columbia, el Litro de Gasolina esta costando 2.10 dolares, un record",  pronto    ya se nota el alza de combustible en canada  en british columbia  el litro de gasolina esta costando 2 10 dolares  un record,es,0,0,2018-04-14 17:43:47+00:00,50,False,5008,,
6,2022-03-04 23:59:40+00:00,"RT @JulenBollain: Mañana el precio de la luz llegará hasta los 360€/MWh. La gasolina ya está a 1,63€/litro. El maíz ha incrementado su prec…", ma ana el precio de la luz llegar  hasta los 360  mwh  la gasolina ya est  a 1 63  litro  el ma z ha incrementado su prec ,es,0,1152,2011-05-19 20:52:50+00:00,1597,False,382185,,
7,2022-03-04 23:59:39+00:00,"@EntrelineasNoOf Media libra de queso por litro de gasolina super... por que los ""chancheros solidarios"" ya casi no valen nada...",  media libra de queso por litro de gasolina super    por que los  chancheros solidarios  ya casi no valen nada   ,es,4,0,2011-03-11 22:00:14+00:00,45,False,1534,,
9,2022-03-04 23:59:37+00:00,"RT @ElFarolRD: Subieron los combustibles:
Gasolina premium  + 6 = 293.60
Gasolina regular      +4  = 274.50
Gasoil óptimo           +5  = 2…", subieron los combustibles  gasolina premium    6   293 60 gasolina regular       4    274 50 gasoil  ptimo            5    2 ,es,0,9,2012-07-16 02:02:21+00:00,286,False,4102,"Santo Domingo, Dominican Repub",
10,2022-03-04 23:59:36+00:00,"@IAtxa Y acaso estae con rusia te garantiza algo? Resulta que mientras esta esta guerra. Kazajistán tiene o tenía manifestaciones por el aumento de la Gasolina, resulta que Rusia mandó tanques y equipos de contención a Kazajistán, eso esta bien para ti?",  y acaso estae con rusia te garantiza algo  resulta que mientras esta esta guerra  kazajist n tiene o ten a manifestaciones por el aumento de la gasolina  resulta que rusia mand  tanques y equipos de contenci n a kazajist n  eso esta bien para ti ,es,0,0,2010-09-29 20:37:02+00:00,319,False,4689,Al lado del camino,
12,2022-03-04 23:59:31+00:00,Me da miedo ir a dormir y despertar al otro día y ver que la puta gasolina subió otros 2 quetzales.,me da miedo ir a dormir y despertar al otro d a y ver que la puta gasolina subi  otros 2 quetzales ,es,1,0,2012-01-07 02:31:14+00:00,167,False,620,Guatemala.,
13,2022-03-04 23:59:30+00:00,RT @MentaeGuardia: Que la gasolina también ta cara en Estados Unidos. Y yo es allá o aquí que uno ta echando gasolina maomeno?, que la gasolina tambi n ta cara en estados unidos  y yo es all  o aqu  que uno ta echando gasolina maomeno ,es,0,41,2009-06-14 20:44:34+00:00,579,False,45786,Virgo Galaxy Supercluster,
14,2022-03-04 23:59:30+00:00,"@carolina_rocha_ Creó que el subconsciente la a traicionado, me da a pensar que de algún modo era de vez en vez que pagabas gasolina!
O casi nunca lo hacías!",  rocha  cre  que el subconsciente la a traicionado  me da a pensar que de alg n modo era de vez en vez que pagabas gasolina  o casi nunca lo hac as ,es,0,0,2019-11-07 01:20:48+00:00,1249,False,116522,,
