,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-07 23:59:58+00:00,"RT @pregon_f: Ayer fueron los pescadores de Paraguaná, HOY es el turno de los pescadores de La Vela de Coro en Falcón, quienes salieron a l…", ayer fueron los pescadores de paraguan   hoy es el turno de los pescadores de la vela de coro en falc n  quienes salieron a l ,es,0,8,2021-12-23 22:37:43+00:00,139,False,657,,
1,2022-03-07 23:59:57+00:00,"RT @GregorioRCh: ⚠️ ¿Gasolina? ¿Luz? ¿Guerra?
¡Quia!: IDEOLOGÍA asesina FEMINAZI. #8M #8Marzo2022 https://t.co/00dwPLyqDM",     gasolina   luz   guerra   quia   ideolog a asesina feminazi   8m  8marzo2022  ,es,0,44,2021-06-25 14:44:16+00:00,278,False,19862,,
2,2022-03-07 23:59:57+00:00,Caída de los precios de la luz y la gasolina https://t.co/BphbGIrEQJ,ca da de los precios de la luz y la gasolina  ,es,54,12,2015-05-30 16:29:47+00:00,575,False,14214,"A Coruña, Galicia",
3,2022-03-07 23:59:57+00:00,"RT @CMonteroOficial: El precio del galón de gasolina en 🇺🇸 supera los 4 dólares por primera vez desde 2008 😳                  -¿y ahora, qu…", el precio del gal n de gasolina en    supera los 4 d lares por primera vez desde 2008                      y ahora  qu ,es,0,1233,2019-12-18 18:27:18+00:00,1743,False,24253,Nicaragua y el mundo. ,
4,2022-03-07 23:59:56+00:00,"RT @MonicaGlez_: Honestamente entre los precios del alquiler, la gasolina y los trabajos precarios nos están dejando la vida un poco difíci…", honestamente entre los precios del alquiler  la gasolina y los trabajos precarios nos est n dejando la vida un poco dif ci ,es,0,5722,2020-01-12 17:47:02+00:00,14,False,674,,
5,2022-03-07 23:59:56+00:00,RT @PabloIglesias: Es obvio quien quiere callar a La Base… Su odio es nuestra gasolina para seguir y crecer. Gracias a todos los que nos ap…, es obvio quien quiere callar a la base  su odio es nuestra gasolina para seguir y crecer  gracias a todos los que nos ap ,es,0,2253,2019-06-05 07:11:50+00:00,32,False,5850,,
6,2022-03-07 23:59:56+00:00,"RT @_ANAMILAN_: -Buenas tardes, le pongo diésel o gasolina?
-No, no, nada. Sólo estoy mirando.",  buenas tardes  le pongo di sel o gasolina   no  no  nada  s lo estoy mirando ,es,0,13937,2020-05-05 00:45:13+00:00,33,False,8823,,
7,2022-03-07 23:59:56+00:00,RT @TirodeGraciah: Un coche se desmaya al ver el precio de la gasolina. https://t.co/cjBnfu5eFA, un coche se desmaya al ver el precio de la gasolina   ,es,0,20105,2011-04-05 20:11:41+00:00,548,False,2540,Madrid,
8,2022-03-07 23:59:56+00:00,RT @tudulcealimento: Si la gasolina no tuviera impuestos no haría falta gasolina porque no habría por dónde circular 🥾 🐍, si la gasolina no tuviera impuestos no har a falta gasolina porque no habr a por d nde circular    ,es,0,843,2013-09-27 13:54:27+00:00,280,False,42600,,
9,2022-03-07 23:59:55+00:00,"RT @ReporteYa: #7Mar #Venezuela #Gasolina 
Alrededor de un centenar de estaciones de servicio ya no venderán combustible a precio subsidiad…",  7mar  venezuela  gasolina  alrededor de un centenar de estaciones de servicio ya no vender n combustible a precio subsidiad ,es,0,19,2014-01-19 19:29:08+00:00,727,False,130758,,
11,2022-03-07 23:59:54+00:00,"RT @TalitaSaray: No importa cuanto dinero generes en Venezuela, jamás tendrás una vida normal. Si no es la inseguridad, es la luz, el agua,…", no importa cuanto dinero generes en venezuela  jam s tendr s una vida normal  si no es la inseguridad  es la luz  el agua  ,es,0,3037,2018-10-11 05:35:10+00:00,5609,False,102,En un pais Oprimido,
12,2022-03-07 23:59:54+00:00,"RT @Francis62562374: Maduro aumento el salario y dolarizo la gasolina, no midió como siempre las consecuencias, que ahora se viene un mega…", maduro aumento el salario y dolarizo la gasolina  no midi  como siempre las consecuencias  que ahora se viene un mega ,es,0,858,2021-01-30 18:10:07+00:00,596,False,75208,,
