,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-09 23:59:59+00:00,RT @MSEQUEYRO: La oposición diciéndole a Marcelo que en EU el precio de la gasolina es por galón no por litro. Como si el canciller no hubi…, la oposici n dici ndole a marcelo que en eu el precio de la gasolina es por gal n no por litro  como si el canciller no hubi ,es,0,485,2011-11-07 03:50:48+00:00,1246,False,205048,,
1,2022-03-09 23:59:57+00:00,"RT @realpuchito: Hoy en Estados Unidos en algunos Estados el precio de la gasolina ⛽️  llegó a 50 pesos el litro o más, lo bueno es que en…", hoy en estados unidos en algunos estados el precio de la gasolina     lleg  a 50 pesos el litro o m s  lo bueno es que en ,es,0,377,2010-09-15 23:37:36+00:00,647,False,26536,Cozumel Quintana Roo,
2,2022-03-09 23:59:56+00:00,"Creo que los monopolios que dominan el mercado del gas, gasolina y electricidad, debería ser más transparentes y saber a que precio compran + costes,  y a que precio venden a las distribuidoras. Creo que ahí está el problema, se llevan lo que quieren en la primera transacción.",creo que los monopolios que dominan el mercado del gas  gasolina y electricidad  deber a ser m s transparentes y saber a que precio compran   costes   y a que precio venden a las distribuidoras  creo que ah  est  el problema  se llevan lo que quieren en la primera transacci n ,es,1,0,2017-09-14 18:18:37+00:00,1262,False,7560,La Tierra,
3,2022-03-09 23:59:56+00:00,"RT @raulconte10: 2 años del 1er caso:

•Mayor desempleo de la historia
•Aún no regresamos al PIB del 2019 con todo y ""el empuje"" de la mine…", 2 a os del 1er caso    mayor desempleo de la historia  a n no regresamos al pib del 2019 con todo y  el empuje  de la mine ,es,0,87,2009-12-21 06:38:50+00:00,222,False,1704,Panamá,
4,2022-03-09 23:59:56+00:00,"Yo por las mañanas: Que bien me siento, que alegría, ya no pienso en Susa está superado.

Yo a la 1 de la mañana: Ojalá beberme una lata de gasolina y tirarme a una hoguera la verdad.",yo por las ma anas  que bien me siento  que alegr a  ya no pienso en susa est  superado   yo a la 1 de la ma ana  ojal  beberme una lata de gasolina y tirarme a una hoguera la verdad ,es,0,0,2012-10-26 07:56:06+00:00,77,False,4943,"Caesaraugusta, Spain",
5,2022-03-09 23:59:54+00:00,RT @cars_frases: 🔴 ÚLTIMA HORA: Se cancela la Copa Pistón por los altos costes de la gasolina. https://t.co/9PO5ZbirMk,    ltima hora  se cancela la copa pist n por los altos costes de la gasolina   ,es,0,10394,2013-11-14 14:55:15+00:00,226,False,5651,,
6,2022-03-09 23:59:54+00:00,"RT @juanburgos: ¿El precio de la ⛽️ no ha subido en 🇲🇽 como en 🇺🇸 porque AMLO es un genio de la economía?

LOL, NO.

El precio de ha manten…",  el precio de la    no ha subido en    como en    porque amlo es un genio de la econom a   lol  no   el precio de ha manten ,es,0,686,2010-01-03 06:39:39+00:00,82,False,3841,Queretaro,
7,2022-03-09 23:59:53+00:00,"RT @eprietoescobar: 💡Llevamos meses en máximos históricos de luz.
⛽️Llevamos meses viendo cómo sube la gasolina.
💥Llevamos dos semanas de g…",  llevamos meses en m ximos hist ricos de luz    llevamos meses viendo c mo sube la gasolina   llevamos dos semanas de g ,es,0,32,2012-02-08 19:19:17+00:00,195,False,2483,"Granada, España",
9,2022-03-09 23:59:52+00:00,"RT @QuotesforGoal: ""Si Biden gana, vas a pagar la gasolina 7$, 8$, 9$. Entonces te dirán ¡deshazte de tu auto!

Donald Trump (2020)",  si biden gana  vas a pagar la gasolina 7   8   9   entonces te dir n  deshazte de tu auto   donald trump  2020 ,es,0,2131,2021-10-02 23:46:50+00:00,335,False,8113,,
10,2022-03-09 23:59:52+00:00,"RT @juliaelena23: #8M A fines de abril del 2018, Eyvi Ágreda iba en un bus de transporte público camino a su casa, pero acabó en un hospita…",  8m a fines de abril del 2018  eyvi  greda iba en un bus de transporte p blico camino a su casa  pero acab  en un hospita ,es,0,674,2011-08-28 23:37:36+00:00,1059,False,56101,Charlotte,
