,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-12 23:59:59+00:00,RT @ddeschouw: Aquí RTVE diciendo que la culpa de un año de subida de luz y gasolina es de la guerra en Ucrania que empezó hace tres semana…, aqu  rtve diciendo que la culpa de un a o de subida de luz y gasolina es de la guerra en ucrania que empez  hace tres semana ,es,0,415,2011-03-21 10:56:29+00:00,358,False,23842,Madrid,
1,2022-03-12 23:59:51+00:00,"RT @MichelCaballero: Cómo se dice ""bachaquero"" en inglés? Bueno, llegó el bachaqueo de gasolina a EEUU. ¡Fin de mundo! 😖", c mo se dice  bachaquero  en ingl s  bueno  lleg  el bachaqueo de gasolina a eeuu   fin de mundo   ,es,0,732,2020-05-13 21:52:09+00:00,339,False,9808,Venezuela,
2,2022-03-12 23:59:51+00:00,"RT @ToroenReposo: Cuando no puedas llenar el depósito, recuerda que el 50% de impuestos que pagas por la gasolina no van a construir un sól…", cuando no puedas llenar el dep sito  recuerda que el 50  de impuestos que pagas por la gasolina no van a construir un s l ,es,0,812,2014-03-21 00:44:02+00:00,5411,False,379457,España,
3,2022-03-12 23:59:50+00:00,RT @djalmablum: A donde vamos a parar con este precio de la gasolina super? https://t.co/xNiyYSvQ5H, a donde vamos a parar con este precio de la gasolina super   ,es,0,283,2014-02-24 23:14:58+00:00,38,False,2359,"Guayaquil, Ecuador",
4,2022-03-12 23:59:50+00:00,"RT @andruchys: En Los Rios y Clemente Ballen , la gasolina Super está con mejor precio. https://t.co/TXsjFszVwV", en los rios y clemente ballen   la gasolina super est  con mejor precio   ,es,0,42,2020-02-17 03:43:47+00:00,50,False,5917,,
5,2022-03-12 23:59:50+00:00,"RT @juancar35546865: @jgnaredo Seguro convierten ingresos  por hora de trabajo y celebran haberse ido.
Y todo mundo sabe que importamos de…",   seguro convierten ingresos  por hora de trabajo y celebran haberse ido  y todo mundo sabe que importamos de ,es,0,8,2018-05-12 01:56:49+00:00,1618,False,223288,,
6,2022-03-12 23:59:50+00:00,"RT @Jorgebuxade: Cuando en 2008-2009 el petróleo llegó a 140 dólares el barril, no pagamos a 2 euros el litro de gasolina. 

¿Por qué? 
Cui…", cuando en 2008 2009 el petr leo lleg  a 140 d lares el barril  no pagamos a 2 euros el litro de gasolina     por qu    cui ,es,0,1126,2011-05-07 23:11:02+00:00,1272,False,106419,Desubicado,
7,2022-03-12 23:59:49+00:00,RT @EcuavisaInforma: 🔴ATENCIÓN Precio de la gasolina súper se acerca a los USD 4 por galón: ¿Cambiarías de gasolina tras el incremento del…,  atenci n precio de la gasolina s per se acerca a los usd 4 por gal n   cambiar as de gasolina tras el incremento del ,es,0,20,2011-01-05 02:54:36+00:00,1340,False,4666,Ecuador,
8,2022-03-12 23:59:47+00:00,RT @brauliioferrazz: Compro gasolina de lotes anteriores, compro gasolina de lotes anteriores,es,0,664,2019-08-30 11:47:08+00:00,129,False,64006,"Belo Horizonte, Brasil",
9,2022-03-12 23:59:45+00:00,"@NapoleonSantama Yo he vivido en el extranjero y creo que le faltó de poner cuanto es el sueldo básico en españa, cuando encuentra un coche nuevo y uno de 2da a pesar de los impuestos y 3ero la gasolina que venden en ecuador con precio internacional le parece Justo pagar por algo tan malo?",  yo he vivido en el extranjero y creo que le falt  de poner cuanto es el sueldo b sico en espa a  cuando encuentra un coche nuevo y uno de 2da a pesar de los impuestos y 3ero la gasolina que venden en ecuador con precio internacional le parece justo pagar por algo tan malo ,es,0,0,2010-10-08 13:35:33+00:00,486,False,1639,,
