,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-13 23:59:58+00:00,"@VanessaOrtizz Aunque dirán que ya no hay, q donde las hay es por q la mayoría busca el subsidio, pero debemos recordar que las colas por escasez de gasolina no son nuevas, y aún están presentes,una semana atrás en las subsidiadas no llegaron las cisternas a despachar, sólo algunas dolarizadas.",  aunque dir n que ya no hay  q donde las hay es por q la mayor a busca el subsidio  pero debemos recordar que las colas por escasez de gasolina no son nuevas  y a n est n presentes una semana atr s en las subsidiadas no llegaron las cisternas a despachar  s lo algunas dolarizadas ,es,0,0,2022-03-06 23:45:26+00:00,1,False,0,,
1,2022-03-13 23:59:58+00:00,"RT @Monkey_Stocks: Gasolina x Bitcoin

2012
1 litro = 4,3 btc

2022
1 litro = 0,000035 btc

Gasolina tá barata!", gasolina x bitcoin  2012 1 litro   4 3 btc  2022 1 litro   0 000035 btc  gasolina t  barata ,es,0,23,2018-06-10 20:10:49+00:00,810,False,5676,"Ilha Magnética, MA 🏝",
2,2022-03-13 23:59:56+00:00,"RT @numer344: - Polonia elimina el IVA de gasolina, gas y alimentos.

- Francia rebaja 15 centimos el litro de gasolina. 

- Portugal ajust…",   polonia elimina el iva de gasolina  gas y alimentos     francia rebaja 15 centimos el litro de gasolina      portugal ajust ,es,0,8387,2012-11-09 15:44:22+00:00,294,False,812,,
3,2022-03-13 23:59:56+00:00,"RT @poeterapia2: México responsable con los que menos tienen.
#AmloElMejorPresidenteDelMundo
Con AMLO, la gasolina en México es más barata…", m xico responsable con los que menos tienen   amloelmejorpresidentedelmundo con amlo  la gasolina en m xico es m s barata ,es,0,4,2014-02-26 04:05:52+00:00,2889,False,33767,,
4,2022-03-13 23:59:56+00:00,@SinLinea_Mx Así que ya no es tan mal visto que los pobres paguen la gasolina de los ricos? Veremos qué piensan después del 10 de abril,  mx as  que ya no es tan mal visto que los pobres paguen la gasolina de los ricos  veremos qu  piensan despu s del 10 de abril,es,0,0,2021-01-25 00:05:08+00:00,42,False,182,,
5,2022-03-13 23:59:55+00:00,"RT @PerroUsuario: Hola soy manchitas, vivo en la calle, me resguardo en el depósito de un refugio de personas cerca de la bomba de gasolina…", hola soy manchitas  vivo en la calle  me resguardo en el dep sito de un refugio de personas cerca de la bomba de gasolina ,es,0,396,2010-09-14 19:57:09+00:00,1322,False,14387,,
6,2022-03-13 23:59:52+00:00,RT @JRioboVTV: ¿La primera potencia del mundo? En EE.UU. perforan los tanques de gasolina de los carros para robarse el combustible ¿Qué ta…,  la primera potencia del mundo  en ee uu  perforan los tanques de gasolina de los carros para robarse el combustible  qu  ta ,es,0,520,2013-11-17 11:54:12+00:00,13,False,1926,,
7,2022-03-13 23:59:51+00:00,"RT @ulisesolorzano: Quién recuerda cuando los escuálidos opositores, la #UE y #EEUU criticaban al presidente @NicolasMaduro, por todo lo qu…", qui n recuerda cuando los escu lidos opositores  la  ue y  eeuu criticaban al presidente    por todo lo qu ,es,0,20,2015-10-01 21:30:42+00:00,221,False,13414,,
8,2022-03-13 23:59:51+00:00,"RT @EricBla90829613: El gobierno, @lopezobrador_, compra, c MI DINERO, gasolina en EU a $40 litro y me la vende en $22

Por tanto, en c/lit…", el gobierno      compra  c mi dinero  gasolina en eu a  40 litro y me la vende en  22  por tanto  en c lit ,es,0,106,2020-04-11 21:28:36+00:00,3390,False,51750,,
9,2022-03-13 23:59:51+00:00,"RT @ivanedlm: Un gobierno no puede hacer nada por bajar los precios de los alimentos, la luz, el gas, la gasolina o la electricidad.

Excep…", un gobierno no puede hacer nada por bajar los precios de los alimentos  la luz  el gas  la gasolina o la electricidad   excep ,es,0,4597,2016-10-01 10:26:21+00:00,710,False,149957,,
