,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-15 23:59:58+00:00,"RT @MD_H0_DrAaronFC: Cancela Pemex contrato que lo forzaba a pagar por un ducto inexistente

5 años, Pemex pagó 4.5 MDD mensuales a empresa…", cancela pemex contrato que lo forzaba a pagar por un ducto inexistente  5 a os  pemex pag  4 5 mdd mensuales a empresa ,yolanda15313522,es,0,484,2019-04-22 23:38:19+00:00,318,False,62452,Estados Unidos,
1,2022-03-15 23:59:57+00:00,"RT @lopezobrador_: Terminamos una muy buena reunión de trabajo con los gerentes de las seis refinerías, otros servidores públicos, el direc…", terminamos una muy buena reuni n de trabajo con los gerentes de las seis refiner as  otros servidores p blicos  el direc ,Caballe45602766,es,0,4037,2021-09-15 23:20:03+00:00,182,False,3744,CDMX,
2,2022-03-15 23:59:56+00:00,"RT @RubenSanchezTW: Feijóo dice que el Gobierno ""se forra"" con los impuestos de la luz y la gasolina, como si el dinero fuera para el presi…", feij o dice que el gobierno  se forra  con los impuestos de la luz y la gasolina  como si el dinero fuera para el presi ,Antonio24412267,es,0,2373,2019-01-05 18:20:02+00:00,123,False,24509,"Telde, España",
3,2022-03-15 23:59:55+00:00,"RT @JOSEESCAURIZA: Paraguay sí tiene 100 millones de dólares para endeudarnos en subsidios para el combustible, pero no tiene dinero para b…", paraguay s  tiene 100 millones de d lares para endeudarnos en subsidios para el combustible  pero no tiene dinero para b ,arlcris93,es,0,1046,2012-11-04 02:50:59+00:00,167,False,244,,
4,2022-03-15 23:59:55+00:00,RT @AntonioMaeso: Que alguien justifique la suba de los precios con la LUC. Identifiquen él o los artículos que refieren a la suba de preci…, que alguien justifique la suba de los precios con la luc  identifiquen  l o los art culos que refieren a la suba de preci ,JAlbertoMari,es,0,67,2014-08-17 02:41:31+00:00,2718,False,41585,"Montevideo, Uruguay",
5,2022-03-15 23:59:53+00:00,RT @robertbirra: NO MÁS COMBUSTIBLE GRATIS PARA FUNCIONARIOS PÚBLICOS CON ESTE PRIVILEGIO!!! Paguen de su bolsillo como el resto del Pueblo…, no m s combustible gratis para funcionarios p blicos con este privilegio    paguen de su bolsillo como el resto del pueblo ,Liclacepy,es,0,784,2013-08-29 01:08:57+00:00,172,False,42950,,
6,2022-03-15 23:59:53+00:00,@itobisono Dicen que los asesores de comunicación de @itobisono le prohibieron hablar de cualquier tema que tenga que ver con combustible. Que ese es un problema externo no de él. Oye @RalburquerqueR,  dicen que los asesores de comunicaci n de   le prohibieron hablar de cualquier tema que tenga que ver con combustible  que ese es un problema externo no de  l  oye  ,PoliWa_RD,es,0,0,2021-08-31 19:32:29+00:00,9,False,3,,
7,2022-03-15 23:59:51+00:00,"RT @Alex_md9: Hace unos días Moscú emitió una lista en el que prohibía la exportación de más de 200 productos, como respuesta frente a las…", hace unos d as mosc  emiti  una lista en el que prohib a la exportaci n de m s de 200 productos  como respuesta frente a las ,JErro89514609,es,0,1888,2020-04-10 13:22:41+00:00,854,False,290963,"Gijón, España",
8,2022-03-15 23:59:50+00:00,"RT @La_SER: 📹Dos minutos que desmontan el discurso de Feijóo de que el Gobierno se forra con los impuestos a la gasolina 

🖊️Por @Ruiz_Noti…",  dos minutos que desmontan el discurso de feij o de que el gobierno se forra con los impuestos a la gasolina     por   noti ,mjdelar,es,0,2474,2011-01-10 14:21:52+00:00,122,False,18508,,
9,2022-03-15 23:59:49+00:00,"RT @samuel_pz: OJO AL CONGRESO:

El oficialismo quiere meter ley para subsidiar gasolina, con eso quieren lavarse la cara y desviar el tema…", ojo al congreso   el oficialismo quiere meter ley para subsidiar gasolina  con eso quieren lavarse la cara y desviar el tema ,loredna21,es,0,491,2016-01-06 04:49:39+00:00,26,False,6371,,
10,2022-03-15 23:59:48+00:00,"RT @alexlanip: El 95% de mexicanos
Apoyamos al #MesiasTropical
El 5% Sólo son cínicos
xq compran gasolina barata.", el 95  de mexicanos apoyamos al  mesiastropical el 5  s lo son c nicos xq compran gasolina barata ,Patrici17909610,es,0,5,2019-11-26 21:20:38+00:00,2714,False,332783,,
11,2022-03-15 23:59:48+00:00,"Pasa que me gustaría saber porque las bombas de gasolina dolarizadas no reciben petros??? Ahora resulta que el biopago está dañado y en la mayoría lo eliminaron, Que hago con el medio petros??? @NicolasMaduro @PDVSA",pasa que me gustar a saber porque las bombas de gasolina dolarizadas no reciben petros    ahora resulta que el biopago est  da ado y en la mayor a lo eliminaron  que hago con el medio petros       ,PinadelRosso,es,0,0,2009-10-05 18:15:42+00:00,267,False,850,"Barinas, Venezuela",
12,2022-03-15 23:59:48+00:00,RT @manuelbobrador1: Ya está pegando fuerte el precio de la gasolina 😨😨😩😩 https://t.co/KnUCevCExl, ya est  pegando fuerte el precio de la gasolina       ,Carloscuates,es,0,116,2022-01-23 11:52:40+00:00,132,False,10428,México,
14,2022-03-15 23:59:47+00:00,"RT @AlexisMariM: Y ojo, que los que más se quejan del precio de la gasolina son los que primero pusieron un impuesto a la energía fotovolta…", y ojo  que los que m s se quejan del precio de la gasolina son los que primero pusieron un impuesto a la energ a fotovolta ,PalDaga,es,0,2,2011-06-20 22:01:38+00:00,472,False,28630,En la mejor.,
