,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-17 23:59:58+00:00,"RT @mikihoyos: @isiisidrus @Seve2021 Exacto y como el gasóleo ha bajado 10 céntimos desde el jueves, pagan menos de 1.30 € litro.",     exacto y como el gas leo ha bajado 10 c ntimos desde el jueves  pagan menos de 1 30   litro ,es,0,6,2012-11-18 21:20:58+00:00,9207,False,236142,,
1,2022-03-17 23:59:56+00:00,RT @RossyTB: 📌En el momento en que el Presidente exhibía el precio de la gasolina en EEUU. Se alcanza a ver la Tendencia en Twitter de #Lad…,  en el momento en que el presidente exhib a el precio de la gasolina en eeuu  se alcanza a ver la tendencia en twitter de  lad ,es,0,438,2014-04-25 01:46:32+00:00,84,False,30743,DF ..MEXICO,
2,2022-03-17 23:59:54+00:00,"@Karenmariselae2 @davorp9 Justamente lo que digo, ellos cierran rutas que solo afecta al pueblo nada más, cierren las salidas del congreso por tiempo indefinido hasta que renuncien a los cupos de combustibles y que eso vaya al fondo para combustible que están creando, eso apoyaría!!",    justamente lo que digo  ellos cierran rutas que solo afecta al pueblo nada m s  cierren las salidas del congreso por tiempo indefinido hasta que renuncien a los cupos de combustibles y que eso vaya al fondo para combustible que est n creando  eso apoyar a  ,es,4,2,2020-05-29 22:39:24+00:00,7364,False,57248,Paraguay,
3,2022-03-17 23:59:52+00:00,"RT @J0TA13: Precio carburante 2,20€ litro

Echa 70 litros, coste 154,00€

La multa por fugarse de la gasolinera sin pagar es de 156,00€

Si…", precio carburante 2 20  litro  echa 70 litros  coste 154 00   la multa por fugarse de la gasolinera sin pagar es de 156 00   si ,es,0,19624,2021-11-08 16:49:52+00:00,1,False,103,,
4,2022-03-17 23:59:47+00:00,"RT @isiisidrus: @Seve2021 @mikihoyos Es más NINGÚN transportista está pagando el gasóleo a 1,80 Echan gasóleo en cooperativas,a 0,25 más ba…",     es m s ning n transportista est  pagando el gas leo a 1 80 echan gas leo en cooperativas a 0 25 m s ba ,es,0,22,2012-11-18 21:20:58+00:00,9207,False,236142,,
5,2022-03-17 23:59:47+00:00,"Estamos construyendo la Planta de Tratamiento de Aguas Residuales para #Pereira y #Dosquebradas. ¿Qué beneficios trae? 👇
✔️Recuparación del río Otún.
✔️Un sistema de aguas sostenible a futuro.
✔️Generación de biogás como fuente alternativa de combustible.
#EsConHechos https://t.co/nNYHMqBEi6",estamos construyendo la planta de tratamiento de aguas residuales para  pereira y  dosquebradas   qu  beneficios trae      recuparaci n del r o ot n    un sistema de aguas sostenible a futuro    generaci n de biog s como fuente alternativa de combustible   esconhechos  ,es,10,0,2009-06-24 20:23:56+00:00,4369,True,3636,"Bogotá, D.C., Colombia",
7,2022-03-17 23:59:46+00:00,RT @SocialDrive_es: Francia comienza a manifestarse contra el precio del combustible https://t.co/4AhdFb7zf8, francia comienza a manifestarse contra el precio del combustible  ,es,0,1052,2010-02-20 19:12:02+00:00,2471,False,48708,,
8,2022-03-17 23:59:46+00:00,⚡️ ¿Qué crees que es mejor para la Tierra: un vehículo eléctrico o de gasolina? https://t.co/Xhmx3waAW3,    qu  crees que es mejor para la tierra  un veh culo el ctrico o de gasolina   ,es,0,0,2013-06-19 20:03:53+00:00,108002,False,3101,World Wide Web,
10,2022-03-17 23:59:45+00:00,"RT @aventurat: Niñas y niños indígenas hoy pasan su día con hambre, desnutridos, sin transporte, sin gasolina, sin agua potable, sin luz, s…", ni as y ni os ind genas hoy pasan su d a con hambre  desnutridos  sin transporte  sin gasolina  sin agua potable  sin luz  s ,es,0,18,2011-01-30 02:08:23+00:00,1452,False,149,Amazonas y Delta Amacuro,
11,2022-03-17 23:59:43+00:00,"@68queenri Sí, seguramente @lopezobrador_ , así como hizo bajar el precio de la gasolina desde el primer año de su gobierno, así como el sistema de salud de primer mundo que nos ha dado, así como la corrupción que ""ya no hay"", los amiguismos y favoritismos, así le podemos creer.",  s   seguramente      as  como hizo bajar el precio de la gasolina desde el primer a o de su gobierno  as  como el sistema de salud de primer mundo que nos ha dado  as  como la corrupci n que  ya no hay   los amiguismos y favoritismos  as  le podemos creer ,es,0,1,2011-03-05 18:25:14+00:00,545,False,65612,México,
13,2022-03-17 23:59:40+00:00,"RT @josetorres514: @PLDenlinea Hahahahahahaha tan desesperado. Corrompieron la juventud, duplicaron todo lo que Hipólito le entregó barato,…",   hahahahahahaha tan desesperado  corrompieron la juventud  duplicaron todo lo que hip lito le entreg  barato  ,es,0,1,2010-08-01 21:26:21+00:00,1309,False,2453,"Fayetteville, NC",
