,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-13 23:59:42+00:00,"RT @BARYMU1: HUELGA DE JURADOS DE VOTACION, TERMINAL DE TRANSPORTE BUENAVENTURA- FALTA DE GARANTIAS. https://t.co/2TCgP3222z", huelga de jurados de votacion  terminal de transporte buenaventura  falta de garantias   ,RollinsBand,es,0,27,2016-02-11 01:38:03+00:00,154,False,51268,,
1,2022-03-13 23:59:27+00:00,"RT @vanesantos09: El país se va a la ruina, los trabajadores no pueden más, mañana empieza la huelga indefinida del transporte y los sindic…", el pa s se va a la ruina  los trabajadores no pueden m s  ma ana empieza la huelga indefinida del transporte y los sindic ,jmpsdm,es,0,81,2015-02-16 16:47:43+00:00,360,False,37600,,
5,2022-03-13 23:58:43+00:00,"RT @ToroenReposo: Si después de esta, negándose a una huelga con el sector del transporte totalmente arruinado, los sindicatos de clase sig…", si despu s de esta  neg ndose a una huelga con el sector del transporte totalmente arruinado  los sindicatos de clase sig ,UNADEL58,es,0,117,2015-10-09 15:39:41+00:00,3698,False,308597,"Madrid, Comunidad de Madrid",
6,2022-03-13 23:58:24+00:00,"RT @jujogaco: Irresponsable la patronal del transporte, convocando una huelga en plena crisis de una guerra, para asustar mucho más a la po…", irresponsable la patronal del transporte  convocando una huelga en plena crisis de una guerra  para asustar mucho m s a la po ,Cocodrilo_jubil,es,0,5,2020-04-02 14:09:00+00:00,679,False,142010,,
7,2022-03-13 23:58:07+00:00,"RT @Dr_Hackenbush: El litro de gasolina ⛽️ a 2 euros / litro y CCOO en contra de la huelga del transporte .
A qué precio hay que poner el k…", el litro de gasolina    a 2 euros   litro y ccoo en contra de la huelga del transporte   a qu  precio hay que poner el k ,BuenoConservate,es,0,249,2019-02-10 10:16:11+00:00,574,False,54223,,
9,2022-03-13 23:58:02+00:00,RT @OlgayCarlos2: UGT y CCOO no apoyan la huelga indefinida del transporte. ¡Peligra su suministro de marisco!https://t.co/zfIfJWlW37, ugt y ccoo no apoyan la huelga indefinida del transporte   peligra su suministro de marisco  ,ABM260662,es,0,140,2015-01-14 12:27:45+00:00,299,False,52760,,
10,2022-03-13 23:57:45+00:00,"RT @El_Caliu: Ojalá de una vez por todas el gremio del transporte se ponga de acuerdo y hagan una huelga de verdad.

Si los transportistas…", ojal  de una vez por todas el gremio del transporte se ponga de acuerdo y hagan una huelga de verdad   si los transportistas ,Franjota,es,0,141,2007-04-02 02:54:28+00:00,6571,False,114,,
12,2022-03-13 23:57:25+00:00,RT @Hispania_Semper: Día 411º. El diésel ya está a 2€. Mañana podría empezar una gran huelga del transporte por carretera. Los luz sigue di…, d a 411   el di sel ya est  a 2   ma ana podr a empezar una gran huelga del transporte por carretera  los luz sigue di ,jony2292,es,0,155,2012-07-02 12:58:39+00:00,714,False,21562,Valladolid ,
14,2022-03-13 23:56:54+00:00,"RT @LUH_noticias: Por qué la ""huelga"" del transporte es un paro patronal
Os dejamos #LaPortadaLUH de mañana en https://t.co/OPAKIS3bmj http…", por qu  la  huelga  del transporte es un paro patronal os dejamos  laportadaluh de ma ana en   http ,Enokh18,es,0,92,2019-11-03 18:50:31+00:00,2039,False,54676,,
15,2022-03-13 23:56:52+00:00,RT @gzapatamadrid: Convocantes de la huelga patronal del transporte de la semana que viene. (Entrevista completa en el siguiente tuit) http…, convocantes de la huelga patronal del transporte de la semana que viene   entrevista completa en el siguiente tuit  http ,a930334,es,0,1190,2014-11-20 21:07:12+00:00,469,False,57235,Justo aquí.,
23,2022-03-13 23:54:27+00:00,"Me acabo de enterar de que mañana hay huelga de transporte y mi padre va a estar trabajando en su oficina (donde tengo mi setup), así que el directo de mañana se cancela 🥲🥲🥲",me acabo de enterar de que ma ana hay huelga de transporte y mi padre va a estar trabajando en su oficina  donde tengo mi setup   as  que el directo de ma ana se cancela    ,Mariia910_,es,4,0,2013-12-31 11:42:45+00:00,1044,False,99156,"Andalucía, España",
28,2022-03-13 23:53:15+00:00,"RT @siguemey_tesi: [ÚLTIMA HORA] huelga Los PIQUETES comienzan A TOMAR POSICIONES , PARO SECTOR TRANSPORTE https://t.co/uHO0bw3Kss",   ltima hora  huelga los piquetes comienzan a tomar posiciones   paro sector transporte  ,Kaiku78,es,0,23,2013-02-08 12:05:48+00:00,77,False,20701,Malaga,
30,2022-03-13 23:53:02+00:00,"RT @AntonioMaestre: Este es el responsable de la patronal de transporte que ha convocado un paro de camiones esta semana 

https://t.co/ORv…", este es el responsable de la patronal de transporte que ha convocado un paro de camiones esta semana    ,Despistaku,es,0,871,2011-04-01 16:21:09+00:00,170,False,87422,,
36,2022-03-13 23:51:53+00:00,"HUELGA DE JURADOS DE VOTACION, TERMINAL DE TRANSPORTE BUENAVENTURA- FALTA DE GARANTIAS. https://t.co/2TCgP3222z",huelga de jurados de votacion  terminal de transporte buenaventura  falta de garantias   ,BARYMU1,es,33,27,2020-07-08 13:52:24+00:00,1996,False,25896,,
37,2022-03-13 23:51:44+00:00,"RT @FlowerPower_46: Son las 00:00 y comienza el PARO(que no huelga)de transporte.
Ojalá la gente como Autobuses,taxi,agricultores o pescado…", son las 00 00 y comienza el paro que no huelga de transporte  ojal  la gente como autobuses taxi agricultores o pescado ,shdaddy__,es,0,54,2011-10-31 16:55:21+00:00,1827,False,14136,murcia ,
39,2022-03-13 23:51:18+00:00,RT @elmundoes: Huelga del transporte: autónomos y pymes se enfrentan a la patronal  y paran de forma indefinida https://t.co/cJpcQqkhmH, huelga del transporte  aut nomos y pymes se enfrentan a la patronal  y paran de forma indefinida  ,Raquel_AJ_86,es,0,811,2021-02-07 09:07:28+00:00,42,False,1830,,
41,2022-03-13 23:49:20+00:00,RT @Rafael010010: @MarioFierro2 @delatorreajenjo Si sólo se pone en huelga el transporte hacemos el ridículo. No creo que haga falta a que…,     si s lo se pone en huelga el transporte hacemos el rid culo  no creo que haga falta a que ,delatorreajenjo,es,0,2,2014-11-03 20:06:58+00:00,948,False,24984,,
42,2022-03-13 23:48:56+00:00,"RT @jesusSCruna: Se llama huelga de transporte menos para CCOO, UGT y Ruben Sanchez 🤦‍♂️", se llama huelga de transporte menos para ccoo  ugt y ruben sanchez     ,SoyJosematc13,es,0,4,2021-07-23 18:17:35+00:00,875,False,24042,En la Sede de @ElSindetuiteros,
43,2022-03-13 23:48:22+00:00,"@Arsenico_bis Siempre he dicho que un Gobierno se tumba en 72 horas con una huelga del transporte, no hay quien lo resista. Ya han tardado, pero bienvenida sea. Y hasta que caigan los socialistas-comunistas-etarras-lazis de este Gobierno criminal.",  bis siempre he dicho que un gobierno se tumba en 72 horas con una huelga del transporte  no hay quien lo resista  ya han tardado  pero bienvenida sea  y hasta que caigan los socialistas comunistas etarras lazis de este gobierno criminal ,javierdelamata1,es,5,0,2011-06-16 06:45:48+00:00,3759,False,211781,España,
47,2022-03-13 23:46:48+00:00,@MarioFierro2 @delatorreajenjo Si sólo se pone en huelga el transporte hacemos el ridículo. No creo que haga falta a que los sindicatos la convoque. Es necesario una huelga general de inmediato.,    si s lo se pone en huelga el transporte hacemos el rid culo  no creo que haga falta a que los sindicatos la convoque  es necesario una huelga general de inmediato ,Rafael010010,es,5,2,2020-12-19 19:06:23+00:00,363,False,36629,"Madrid, Comunidad de Madrid",
48,2022-03-13 23:46:32+00:00,"RT @niporwifi: Menudo personaje tienen como portavoz los empresarios del transporte.
https://t.co/Svl0WL1Y0F", menudo personaje tienen como portavoz los empresarios del transporte   ,chemasegura16,es,0,64,2011-10-29 14:59:38+00:00,578,False,35554,Maricona el que lo lea,
