,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
0,2022-03-14 23:58:16+00:00,RT @Hispania_Semper: Día 411º. El diésel ya está a 2€. Mañana podría empezar una gran huelga del transporte por carretera. Los luz sigue di…, d a 411   el di sel ya est  a 2   ma ana podr a empezar una gran huelga del transporte por carretera  los luz sigue di ,VoxPio____,es,0,155,2021-04-01 11:29:58+00:00,3289,False,47253,,
1,2022-03-14 23:56:36+00:00,RT @JL_FE96: Más tiros en los primeros 15 minutos de huelga del transporte que en 20 años con moros saltando la valla de Melilla., m s tiros en los primeros 15 minutos de huelga del transporte que en 20 a os con moros saltando la valla de melilla ,Glario1939,es,0,69,2012-08-24 19:19:24+00:00,1413,False,97883,España,
2,2022-03-14 23:55:56+00:00,"RT @SocialDrive_es: Información sobre la huelga del transporte en conexión directa SocialDrive con los transportistas

Por la subida del co…", informaci n sobre la huelga del transporte en conexi n directa socialdrive con los transportistas  por la subida del co ,BBCamp19,es,0,606,2017-03-09 20:25:56+00:00,414,False,107589,,
3,2022-03-14 23:55:43+00:00,RT @AndaluciaSinVOX: Vox sigue creando odio y ahí están detrás de la huelga de transporte https://t.co/do3lahLBnR, vox sigue creando odio y ah  est n detr s de la huelga de transporte  ,Pili98545363,es,0,182,2019-06-24 21:59:13+00:00,277,False,20430,Madrid  - Comillas,
4,2022-03-14 23:53:47+00:00,"RT @AntonioMaestre: Este es el responsable de la patronal de transporte que ha convocado un paro de camiones esta semana 

https://t.co/ORv…", este es el responsable de la patronal de transporte que ha convocado un paro de camiones esta semana    ,RFdezAviles,es,0,871,2011-09-22 19:17:00+00:00,279,False,1142,"Madrid, Comunidad de Madrid",
5,2022-03-14 23:53:23+00:00,"RT @MarDGamero: Los sindicatos, esos a los que el Gobierno regó con 14 Millones de euros en 2021, con 17 en 2022 y que van a reformar sus s…", los sindicatos  esos a los que el gobierno reg  con 14 millones de euros en 2021  con 17 en 2022 y que van a reformar sus s ,Jorion70,es,0,1561,2017-08-24 07:11:20+00:00,2258,False,9335,Spain,
7,2022-03-14 23:52:42+00:00,RT @gzapatamadrid: Convocantes de la huelga patronal del transporte de la semana que viene. (Entrevista completa en el siguiente tuit) http…, convocantes de la huelga patronal del transporte de la semana que viene   entrevista completa en el siguiente tuit  http ,tetasrubias,es,0,1190,2019-01-03 15:59:14+00:00,2072,False,112447,23. Málaga. INFP.,
8,2022-03-14 23:52:39+00:00,"RT @apanalis: ⬛️🟥ÚLTIMA HORA: APAGÓN INFORMATIVO

👁️""NO EXISTE HUELGA INDEFINIDA DEL TRANSPORTE EN ESPAÑA""🔎
#NewParadigm #ChinaStyle #Dicta…",     ltima hora  apag n informativo     no existe huelga indefinida del transporte en espa a    newparadigm  chinastyle  dicta ,apanalis,es,0,27,2012-02-16 12:46:16+00:00,7739,False,15426,San Sebastián,
10,2022-03-14 23:50:39+00:00,"RT @eltorotv: 🚛🚨 Arranca la huelga de transporte:

⁉️ ¿Qué reclaman los transportistas que este lunes van a un parón indefinido? 👇🏼 https:/…",    arranca la huelga de transporte       qu  reclaman los transportistas que este lunes van a un par n indefinido     https   ,Rogerbrick,es,0,28,2016-11-14 17:21:24+00:00,32,False,4974,,
17,2022-03-14 23:44:36+00:00,"RT @TIAagentesecret: Que no os engañen los medios de comunicación.
La huelga del transporte esta siendo un exito.
En Las carreteras español…", que no os enga en los medios de comunicaci n  la huelga del transporte esta siendo un exito  en las carreteras espa ol ,LauraGu57134248,es,0,195,2021-11-16 16:47:01+00:00,23,False,624,,
