,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
0,2022-03-18 23:59:54+00:00,"RT @IcarVox: @Algrxx O sea q la Ministra de Transporte @raquelsjimenez dice q NO es una huelga de la PATRONAL y por eso NO ES LEGÍTIMA.
Per…",   o sea q la ministra de transporte   dice q no es una huelga de la patronal y por eso no es leg tima  per ,afesser62,es,0,15,2014-11-11 16:41:30+00:00,1235,False,49713,,,1504970886268469248
1,2022-03-18 23:59:54+00:00,"RT @jucilnacional: La responsabilidad de un gobierno que pone frente a manifestaciones y piquetes de la huelga del transporte, a más de 23.…", la responsabilidad de un gobierno que pone frente a manifestaciones y piquetes de la huelga del transporte  a m s de 23  ,teo1357,es,0,140,2013-10-13 15:29:30+00:00,171,False,9768,,,1504970882879524865
2,2022-03-18 23:59:07+00:00,"RT @JavierArocaA: Y la tanketa , #Marlaska @interiorgob , dónde está la tanketa? La de Cadi .  

El Gobierno califica la huelga del transpo…", y la tanketa    marlaska     d nde est  la tanketa  la de cadi      el gobierno califica la huelga del transpo ,Bilbao1Olga,es,0,330,2021-05-17 18:47:26+00:00,3259,False,142881,EH,,1504970689173934082
3,2022-03-18 23:59:06+00:00,"RT @egtegain: HUELGA DE TRANSPORTE.

HILO⬇️

1/2.La inmoralidad y doble Vara de Medir del Gobierno Comunista de Sánchez, la extrema izquier…", huelga de transporte   hilo    1 2 la inmoralidad y doble vara de medir del gobierno comunista de s nchez  la extrema izquier ,148_win,es,0,32,2014-12-09 17:13:52+00:00,460,False,121087,,,1504970682270199814
4,2022-03-18 23:59:01+00:00,"RT @MarDGamero: La Ministra de Transporte sobre la huelga del sector 
 “Yo no me voy a sentar con un grupo de radicales que utiliza la viol…", la ministra de transporte sobre la huelga del sector    yo no me voy a sentar con un grupo de radicales que utiliza la viol ,ARRIACO7,es,0,2294,2019-01-18 17:05:13+00:00,221,False,23660,ESPAÑA ,,1504970660778594304
5,2022-03-18 23:58:52+00:00,"RT @astroerrante: @EdmundoGijon Por favor no hablen de huelga de camioneros,es un paro de la patronal,muchos de ellos gentuza voxeras. Llev…",   por favor no hablen de huelga de camioneros es un paro de la patronal muchos de ellos gentuza voxeras  llev ,JosRMontero1,es,0,114,2020-08-31 18:24:57+00:00,1867,False,19381,,,1504970622442614786
6,2022-03-18 23:58:48+00:00,"RT @veintimillapier: Preocupación en CCOO y UGT por la huelga del transporte, no entra marisco fresco.", preocupaci n en ccoo y ugt por la huelga del transporte  no entra marisco fresco ,londonomateus,es,0,631,2011-05-17 19:38:44+00:00,1017,False,2530,Madrid Retiro,,1504970605749231616
8,2022-03-18 23:58:26+00:00,"RT @egtegain: QUE SE CONOZCA LA VERDAD DE LA HUELGA DE TRANSPORTISTAS. QUE NO TE ENGAÑEN, NI MANIPULEN.

HILO👇

1/3. Declaraciones de hoy 1…", que se conozca la verdad de la huelga de transportistas  que no te enga en  ni manipulen   hilo   1 3  declaraciones de hoy 1 ,pandugar,es,0,123,2010-02-26 07:56:48+00:00,6277,False,432404,España   🇪🇸,,1504970516452499463
10,2022-03-18 23:58:01+00:00,RT @Apapell: Hay un sospechoso matiz político en la huelga minoritaria del transporte. Conviene que nadie se deje engañar por los “patriota…, hay un sospechoso matiz pol tico en la huelga minoritaria del transporte  conviene que nadie se deje enga ar por los  patriota ,SantallaAgra,es,0,1077,2011-07-24 14:05:48+00:00,974,False,17271,,,1504970410500182018
11,2022-03-18 23:58:00+00:00,"Si por ""la huelga"" del transporte la hostelería se queda sin suministros y tienen que cerrar... se liarán a hostias? 🤔

Buenas noches y felices sueños 😘 https://t.co/nBZyYJ7ZRW",si por  la huelga  del transporte la hosteler a se queda sin suministros y tienen que cerrar    se liar n a hostias     buenas noches y felices sue os    ,zumocoton,es,7,1,2020-10-26 08:18:30+00:00,1958,False,34550,,,1504970404989108226
12,2022-03-18 23:57:34+00:00,"RT @GalloJusticiero: No conoce lo que es el trabajo asalariado
Promueve cierres patronales
CIERRE PATRONAL del transporte

No es una huelga…", no conoce lo que es el trabajo asalariado promueve cierres patronales cierre patronal del transporte  no es una huelga ,VictorGonz54B,es,0,33,2021-06-11 10:08:28+00:00,2096,False,1116,Bcn,,1504970297254031362
13,2022-03-18 23:57:32+00:00,"@PatriciadlHeras en un discurso excepcional sobre la huelga del Transporte. Espectacular ""hostio*"" a la inútil ministra socialistarra. Son tan gilipolla* que pensaron que comprando a los sindicatos no habría ninguna huelga ni piquetes informativos.🤔🤨😅😂
https://t.co/3eB5C1cjCY",  en un discurso excepcional sobre la huelga del transporte  espectacular  hostio   a la in til ministra socialistarra  son tan gilipolla  que pensaron que comprando a los sindicatos no habr a ninguna huelga ni piquetes informativos       ,HeavyAMuerte,es,1,0,2019-10-30 13:56:01+00:00,834,False,43492,"Parla, España",,1504970287883902977
14,2022-03-18 23:57:26+00:00,"RT @javialdanan: @marescudero12 @SusSu5566 Ellos dicen que no es huelga, sino paro patronal. O sea, se supone que de aquellos para quienes…",     ellos dicen que no es huelga  sino paro patronal  o sea  se supone que de aquellos para quienes ,Ciudadana18,es,0,1,2013-07-31 18:41:06+00:00,284,False,13281,,,1504970264748204036
15,2022-03-18 23:57:22+00:00,RT @europapress: #LoMásVisto | Un ganadero vierte la leche al suelo después de que la industria láctea haya tenido que parar su actividad h…,  lom svisto   un ganadero vierte la leche al suelo despu s de que la industria l ctea haya tenido que parar su actividad h ,setmon1234,es,0,20,2019-10-17 12:34:00+00:00,167,False,232,,,1504970248319123464
16,2022-03-18 23:57:17+00:00,"RT @ionantolin: Entiendo a los camioneros que se quedan en casa por miedo. Esto tiene poco de huelga, mucho de boicot al sector del transpo…", entiendo a los camioneros que se quedan en casa por miedo  esto tiene poco de huelga  mucho de boicot al sector del transpo ,DoloresPoblador,es,0,19,2022-02-13 17:16:55+00:00,23,False,455,,,1504970226080886792
17,2022-03-18 23:57:17+00:00,RT @EZorreras: La huelga del transporte pasa a llamarse golpe de estado., la huelga del transporte pasa a llamarse golpe de estado ,peter_knife,es,0,29,2020-03-23 17:17:54+00:00,380,False,71248,,,1504970224617021443
18,2022-03-18 23:56:49+00:00,"RT @JJRuiz791: Tuvimos un arresto domiciliario de 3 meses,  se han cargado miles de negocios y ahora dice el gobierno que no se puede permi…", tuvimos un arresto domiciliario de 3 meses   se han cargado miles de negocios y ahora dice el gobierno que no se puede permi ,Rparlop,es,0,89,2013-10-02 20:42:50+00:00,830,False,80658,,,1504970109135339521
20,2022-03-18 23:56:26+00:00,"RT @DebatAlRojoVivo: 🔴 Habla Pedro Sánchez sobre el paro de los transportistas: ""Me gustaría llamar a la responsabilidad de esta minoría qu…",   habla pedro s nchez sobre el paro de los transportistas   me gustar a llamar a la responsabilidad de esta minor a qu ,DamaRoja8,es,0,63,2021-04-13 00:42:17+00:00,1815,False,90842,,,1504970011013783552
21,2022-03-18 23:56:16+00:00,"RT @springsteen_81: Antena 3 no ha sacado a ningún niño que se ha quedado sin el regalo que llevaba años esperando por culpa de la ""huelga""…", antena 3 no ha sacado a ning n ni o que se ha quedado sin el regalo que llevaba a os esperando por culpa de la  huelga  ,Juanfer_1696,es,0,164,2012-06-08 07:23:05+00:00,275,False,36695,"Reinosa, Cantabria",,1504969969368510467
22,2022-03-18 23:55:42+00:00,"@Yeyealej Pero no es Venezuela, es España 🇪🇦, y no nos vamos a dejar pisar por eso es la huelga de transporte por la subida tan grande precio de alimento luz gas etc",  pero no es venezuela  es espa a     y no nos vamos a dejar pisar por eso es la huelga de transporte por la subida tan grande precio de alimento luz gas etc,ElviraG87264590,es,0,0,2022-01-02 01:24:34+00:00,3,False,57,"Marbella, España",,1504969825558441994
23,2022-03-18 23:55:38+00:00,"RT @KA_Sindical: La ultraderecha detrás de la huelga del transporte .Y no nos engañemos estos no buscan el bien de los trabajadores , solo…", la ultraderecha detr s de la huelga del transporte  y no nos enga emos estos no buscan el bien de los trabajadores   solo ,ladespertadora,es,0,250,2016-11-01 11:44:31+00:00,1493,False,40047,El Puerto de Santa María.,,1504969812681932803
24,2022-03-18 23:55:29+00:00,"RT @AndaluciaSinVOX: Después de la huelga de transporte , vendrá la del campo , todo promovido por los partidos fascistas con la intención…", despu s de la huelga de transporte   vendr  la del campo   todo promovido por los partidos fascistas con la intenci n ,fatimar56,es,0,220,2015-11-14 10:22:20+00:00,1535,False,320009,,,1504969774249426945
25,2022-03-18 23:54:54+00:00,RT @MarDGamero: El Gobierno vincula la huelga del sector del transporte a “un boicot alentado desde la ultraderecha” y despliega más de 15.…, el gobierno vincula la huelga del sector del transporte a  un boicot alentado desde la ultraderecha  y despliega m s de 15  ,ToniAlba0,es,0,2451,2020-04-18 22:12:22+00:00,94,False,18714,,,1504969625238441990
27,2022-03-18 23:53:14+00:00,"RT @ldpsincomplejos: El gobierno y sus terminales mediáticas, atribuyendo a ""la ultraderecha"" el éxito de una huelga de transporte que está…", el gobierno y sus terminales medi ticas  atribuyendo a  la ultraderecha  el  xito de una huelga de transporte que est  ,mcalvoc61,es,0,1270,2015-12-08 19:02:43+00:00,162,False,47954,,,1504969207666167809
29,2022-03-18 23:52:51+00:00,"RT @ingenuocuervo: Ante el terrible desabastecimiento que vamos a sufrir por la huelga del transporte, me veo en la obligación de recomenda…", ante el terrible desabastecimiento que vamos a sufrir por la huelga del transporte  me veo en la obligaci n de recomenda ,joseman5425,es,0,9,2016-04-09 17:14:29+00:00,752,False,90277,"León, España",,1504969111754973185
30,2022-03-18 23:52:40+00:00,"RT @DiarioSUR: 🚛 Las luces de alarma se han encendido en @BancosolOficial. La #HuelgaTransporte, que se prolonga desde hace cinco días, ha…",   las luces de alarma se han encendido en    la  huelgatransporte  que se prolonga desde hace cinco d as  ha ,Mushu_flores,es,0,2,2012-08-06 12:31:35+00:00,93,False,1920,"Málaga, España",,1504969063394648074
31,2022-03-18 23:52:02+00:00,"RT @jucilnacional: Continúa la huelga del transporte que afecta a vías de circulación de toda España. 
#huelgatransportistas #huelgadetrans…", contin a la huelga del transporte que afecta a v as de circulaci n de toda espa a    huelgatransportistas  huelgadetrans ,RlSira,es,0,37,2020-03-28 12:31:03+00:00,431,False,40132,,,1504968903063187463
32,2022-03-18 23:51:39+00:00,"@DaniDominguezRo Ay, los medios

Ahora nos venden huelga de transporte

No....paro patronal. Que no es lo mismo",  ay  los medios  ahora nos venden huelga de transporte  no    paro patronal  que no es lo mismo,Rebeldeasecas,es,0,0,2018-05-06 13:15:48+00:00,145,False,22778,,,1504968809043881984
37,2022-03-18 23:50:23+00:00,"RT @Pacoalv82329767: Huelga de transporte por el precio de combustible
Las petroleras españolas están vendiendo el combustible que compraro…", huelga de transporte por el precio de combustible las petroleras espa olas est n vendiendo el combustible que compraro ,SacaresGabriel,es,0,1,2022-01-15 20:35:14+00:00,254,False,1992,,,1504968490297565186
38,2022-03-18 23:50:22+00:00,"RT @proteston13: Más de 1700 camiones agredidos por los fascistas de las plataformas del transporte.

Pero luego dicen que ellos no pertene…", m s de 1700 camiones agredidos por los fascistas de las plataformas del transporte   pero luego dicen que ellos no pertene ,aguilarobrero,es,0,55,2013-12-20 22:44:42+00:00,3484,False,15726,,,1504968487319617541
41,2022-03-18 23:50:10+00:00,RT @GabiPizarro12: La huelga de transporte forma parte del intento de hacer colapsar el país. Sucede porque los que conspiran contra los ci…, la huelga de transporte forma parte del intento de hacer colapsar el pa s  sucede porque los que conspiran contra los ci ,solonoisback,es,0,81,2022-02-18 08:29:02+00:00,91,False,13725,,,1504968435385741316
43,2022-03-18 23:49:45+00:00,RT @AlemanaJubilada: Si V0X apoya la huelga de transporte habrá que preguntarse si entonces es una huelga por los trabajadores o por la pat…, si v0x apoya la huelga de transporte habr  que preguntarse si entonces es una huelga por los trabajadores o por la pat ,ElenaMayorPrima,es,0,506,2019-12-15 20:17:55+00:00,51,False,6412,"Comunidad de Madrid, España",,1504968330612027396
47,2022-03-18 23:48:52+00:00,"RT @MarDGamero: Dice la ministra de Hacienda, María Jesús Montero, sobre la huelga del transporte que “La ultraderecha está alentando esto…", dice la ministra de hacienda  mar a jes s montero  sobre la huelga del transporte que  la ultraderecha est  alentando esto ,Titoretto,es,0,315,2012-04-26 10:50:19+00:00,709,False,119281,The World,,1504968105956626435
52,2022-03-18 23:48:06+00:00,El sector del hormigón alerta del desabastecimiento y posible colapso de la construcción por la huelga de transporte https://t.co/doY1TicJrr,el sector del hormig n alerta del desabastecimiento y posible colapso de la construcci n por la huelga de transporte  ,noticiasdehogar,es,0,0,2012-07-26 08:45:56+00:00,362,False,0,,,1504967913282879498
59,2022-03-18 23:47:02+00:00,"RT @ldpsincomplejos: Menos mal que, en previsión del desabastecimiento por la huelga de transporte, he tenido la precaución de hacer acopio…", menos mal que  en previsi n del desabastecimiento por la huelga de transporte  he tenido la precauci n de hacer acopio ,TABERNAANIMAS,es,0,187,2012-03-21 00:50:43+00:00,314,False,6719,,,1504967648022515719
63,2022-03-18 23:46:25+00:00,"¡Ojo peligro! 😳🤦🏻‍♂️

https://t.co/ZPwgWHHi0J", ojo peligro           ,Marc_Lari,es,4,0,2012-05-04 19:27:05+00:00,6192,False,21314,Barcelona 🌍,,1504967490123845632
66,2022-03-18 23:46:13+00:00,RT @LpezCullar: Yo apoyo la huelga del transporte., yo apoyo la huelga del transporte ,Cris_Hispana,es,0,2,2019-06-23 00:22:25+00:00,5761,False,122024,"Madrid, Comunidad de Madrid",,1504967442308734976
67,2022-03-18 23:46:09+00:00,RT @rosamariaartal: He podido comprobar estos días que el desabastecimiento de productos por el conjunto de circunstancias a las que se aña…, he podido comprobar estos d as que el desabastecimiento de productos por el conjunto de circunstancias a las que se a a ,panadasol,es,0,315,2013-10-21 15:57:32+00:00,108,False,21088,"Sevilla, España",,1504967426085113857
68,2022-03-18 23:46:06+00:00,RT @EmilioSepulve: La huelga del transporte ya amenaza el abastecimiento de los supermercados https://t.co/Hm7eEaRQyq vía @levante_emv, la huelga del transporte ya amenaza el abastecimiento de los supermercados   v a   emv,Roca94154732,es,0,2,2021-08-01 14:07:45+00:00,281,False,230,,,1504967413414117380
70,2022-03-18 23:45:54+00:00,"Que va a ser así toda la noche????? 

Sois aburridas eh... que si que ya os he leído 🤓🤓

Ya se que soy mala, q tengo la culpa del cambio climático, de la caída de la bolsa, de la huelga del transporte ... algo mas??? https://t.co/nyzJPYBOca",que va a ser as  toda la noche        sois aburridas eh    que si que ya os he le do     ya se que soy mala  q tengo la culpa del cambio clim tico  de la ca da de la bolsa  de la huelga del transporte     algo mas     ,galibutterflies,es,6,0,2014-10-03 18:46:03+00:00,1406,False,23247,"Galicia, España",,1504967361710936067
72,2022-03-18 23:45:49+00:00,"RT @quiminauta: En Chile tumbaron la democracia con el apoyo de USA. No dejemos que pase lo mismo en España, ahora con el apoyo de Rusia. N…", en chile tumbaron la democracia con el apoyo de usa  no dejemos que pase lo mismo en espa a  ahora con el apoyo de rusia  n ,Denise88644469,es,0,13,2019-06-17 20:53:02+00:00,1495,False,66246,,,1504967338306813952
75,2022-03-18 23:45:25+00:00,"RT @AntonioArnau1: @Black_StrobeS Impedir transporte d Alimentos esta prohibido por la Ley. Si hay Industrias Lácteas q no ""recepcionan"" es…",   strobes impedir transporte d alimentos esta prohibido por la ley  si hay industrias l cteas q no  recepcionan  es ,Hector201841,es,0,4,2018-03-25 14:09:04+00:00,37,False,10814,"Sevilla, España",,1504967237924499456
78,2022-03-18 23:44:30+00:00,@MrLurtzdragrog @VideojuegosGAME Eso sí no se retrasan los envíos porque con la huelga de transporte me estoy temiendo lo peor 😅,    eso s  no se retrasan los env os porque con la huelga de transporte me estoy temiendo lo peor  ,ZeoNXB,es,1,0,2013-07-18 23:23:01+00:00,1908,False,120727,Mundo de los Videojuegos ,,1504967007040647170
85,2022-03-18 23:43:23+00:00,"RT @principitoXXI: La huelga del transporte está siendo un fracaso, ha sido  organizada  por partidos de ultraderecha y empresarios afines…", la huelga del transporte est  siendo un fracaso  ha sido  organizada  por partidos de ultraderecha y empresarios afines ,PradaCarmela,es,0,106,2012-07-23 08:15:15+00:00,1314,False,12120,España,,1504966727939018760
88,2022-03-18 23:42:34+00:00,RT @PabloIglesias: Buenos días a todos y sobretodo a l@s trabajadores del transporte en huelga y a los piquetes. Sin vosotr@s no hay democr…, buenos d as a todos y sobretodo a l  trabajadores del transporte en huelga y a los piquetes  sin vosotr  no hay democr ,fflushRM,es,0,459,2015-03-08 23:49:34+00:00,159,False,97085,Rodeado de Champions,,1504966520702652420
93,2022-03-18 23:41:21+00:00,"RT @gonnassau: Simular en los telediarios que no hay huelga de transporte no funciona.
Mañana va a haber lucha libre en los supermercados p…", simular en los telediarios que no hay huelga de transporte no funciona  ma ana va a haber lucha libre en los supermercados p ,JoseSnake7,es,0,715,2010-08-21 20:20:26+00:00,305,False,2670,,,1504966216368205828
94,2022-03-18 23:41:03+00:00,RT @FabianValeroABG: Recordatorio: el paro parcial de transporte está limitando el derecho fundamental a circular libremente por el territo…, recordatorio  el paro parcial de transporte est  limitando el derecho fundamental a circular libremente por el territo ,oelon65,es,0,45,2013-05-01 20:06:43+00:00,546,False,25292,,,1504966139859935234
98,2022-03-18 23:40:12+00:00,"@Egotada Entiendo que para usted son empresarios sin embargo para la legislación laboral son trabajadores, el problema es que al gobierno no le interesa. Año 2012, P I: Buenos días a todos y sobretodo a l@s trabajadores del transporte en huelga y a los piquetes. Sin vosotr@s no hay dem…",  entiendo que para usted son empresarios sin embargo para la legislaci n laboral son trabajadores  el problema es que al gobierno no le interesa  a o 2012  p i  buenos d as a todos y sobretodo a l  trabajadores del transporte en huelga y a los piquetes  sin vosotr  no hay dem ,fiscalpaso,es,0,0,2019-04-19 14:42:38+00:00,12,False,397,,,1504965928374652939
100,2022-03-18 23:39:56+00:00,"RT @jomamugue2: La huelga de transporte huele un poco mal
Me da a mi que más o menos como la de ganaderos y las protestas de hosteleros de…", la huelga de transporte huele un poco mal me da a mi que m s o menos como la de ganaderos y las protestas de hosteleros de ,Bego_Bedrina,es,0,7,2014-12-24 11:41:51+00:00,1122,False,91064,"Castellon, Spain",,1504965858455695362
109,2022-03-18 23:38:37+00:00,"Huelga del transporte
Pues puede ser... vaya si puede ser https://t.co/qKjwPxh7Cx",huelga del transporte pues puede ser    vaya si puede ser  ,anagsr1,es,1,0,2012-06-12 15:43:39+00:00,2668,False,31947,#SíPodemosCanarias,,1504965527822909446
110,2022-03-18 23:38:34+00:00,RT @adrian_avr87: Huelga Transporte #España #huelgatransportistas plataformaparaladefensadelsectordeltransporte https://t.co/ZV9WP2o9wu, huelga transporte  espa a  huelgatransportistas plataformaparaladefensadelsectordeltransporte  ,ramonluisfl,es,0,50,2014-04-30 23:15:34+00:00,447,False,172998,cerca del sotano,,1504965515248349184
112,2022-03-18 23:38:08+00:00,"#HUELGA TRANSPORTE:ĎX ELLO 😭🚚🚛  SEGURO APOYADOS X EL 90% DE PERSONAS DE NIVEL MEDIO A&lt;,AGRICULTORES,/Y SANCHEZ TENIENDO LA SOL  PARA FINAL DE MES🙄PODIA ADELANTARLO PA YA*X LEY*([ SE LE DA MUY BIEN]=❌HUELGA//🤔 ¿ ES👺🤠SANCHEZ KIEN HACE LA ROSCA A PUTIN  Y EL ☣⚠️DE❤ESPAÑA👁", huelga transporte  x ello      seguro apoyados x el 90  de personas de nivel medio a lt  agricultores  y sanchez teniendo la sol  para final de mes podia adelantarlo pa ya x ley    se le da muy bien   huelga      es  sanchez kien hace la rosca a putin  y el    de espa a ,BARMARTOGMAILC1,es,0,0,2021-04-30 15:25:04+00:00,0,False,10,,,1504965406255206411
118,2022-03-18 23:37:09+00:00,"@RubenSanchezTW @CristianVeses Impedir transporte d Alimentos esta prohibido por la Ley. Si hay Industrias Lácteas q no ""recepcionan"" es colaboración en Huelga Patronal (tb prohibida); incumplimiento d contrato (en su caso). Las envasadoras pueden seguir con la producción ""regenerando"" stock leche en polvo. https://t.co/wGWiJZKU6I",    impedir transporte d alimentos esta prohibido por la ley  si hay industrias l cteas q no  recepcionan  es colaboraci n en huelga patronal  tb prohibida   incumplimiento d contrato  en su caso   las envasadoras pueden seguir con la producci n  regenerando  stock leche en polvo   ,MesEnComu,es,9,2,2017-06-21 23:07:43+00:00,484,False,38937,"Valencia, España",,1504965159651000323
120,2022-03-18 23:36:44+00:00,"RT @egtegain: LA VERDAD DE LA HUELGA DE TRANSPORTISTAS, PARTE II.

1/2. Declaraciones ayer 16/11 del Presidente de la Plataforma en Defensa…", la verdad de la huelga de transportistas  parte ii   1 2  declaraciones ayer 16 11 del presidente de la plataforma en defensa ,Jazzel65,es,0,59,2011-04-11 22:21:26+00:00,4263,False,56956,Madrid. España.,,1504965052763447300
125,2022-03-18 23:36:00+00:00,"RT @Barcelo22324375: @wallstwolverine Hacer huelga es de ultra extrema. 
Naaaa 90 mil familias y 128 mil empresas de transporte.",   hacer huelga es de ultra extrema   naaaa 90 mil familias y 128 mil empresas de transporte ,IUCaro,es,0,4,2021-11-11 21:25:06+00:00,65,False,8182,"Madrid, Comunidad de Madrid",,1504964870051147781
127,2022-03-18 23:35:07+00:00,"RT @egtegain: LA VERDAD DE LA HUELGA DE TRANSPOTISTAS.

HILO EN DOS PARTES👇

1/2. Declaraciones el dia 11/03 de Manuel Hernandez, President…", la verdad de la huelga de transpotistas   hilo en dos partes   1 2  declaraciones el dia 11 03 de manuel hernandez  president ,JoseMPCH86,es,0,103,2012-04-04 13:50:09+00:00,3,False,90,,,1504964647375577092
130,2022-03-18 23:34:43+00:00,"RT @Fumatron_U: ¿Por qué en esta ""huelga de transporte"" no se plantan en la sede de la patronal a protestar como hacían en Cádiz los trabaj…",  por qu  en esta  huelga de transporte  no se plantan en la sede de la patronal a protestar como hac an en c diz los trabaj ,DamaRoja8,es,0,101,2021-04-13 00:42:17+00:00,1815,False,90842,,,1504964545751756805
131,2022-03-18 23:34:42+00:00,"RT @MediterraneoDGT: ¿Problemas en España? ¿Se dispara el precio de la luz? ¿La gasolina? ¿Huelga de transporte?

💥 ¡Comodín de los progres…",  problemas en espa a   se dispara el precio de la luz   la gasolina   huelga de transporte      comod n de los progres ,Maikel_Ishida,es,0,16,2012-08-14 12:48:43+00:00,154,False,1328,Granada,,1504964541305823237
135,2022-03-18 23:33:54+00:00,"@mryis13 @sanchezcastejon Putin no ha sido nunca comunista. Desde luego es más sencillo abrir una cuenta de Twitter que leer algún libro. Y los camioneros no están en huelga, sino los empresarios del transporte. Infórmese un poco antes de ladrar.",    putin no ha sido nunca comunista  desde luego es m s sencillo abrir una cuenta de twitter que leer alg n libro  y los camioneros no est n en huelga  sino los empresarios del transporte  inf rmese un poco antes de ladrar ,penultimarevist,es,1,0,2017-01-03 10:21:23+00:00,727,False,197,,,1504964341535330311
147,2022-03-18 23:30:27+00:00,"RT @GanaderiaGavira: Comprendo y cualquier persona razonable debe estar a favor de la solución negociada de la huelga del transporte, pero…", comprendo y cualquier persona razonable debe estar a favor de la soluci n negociada de la huelga del transporte  pero ,C_parrocortes,es,0,3,2010-09-16 09:07:07+00:00,206,False,16104,ALMOROX (capital),,1504963474782408706
152,2022-03-18 23:29:51+00:00,@Apapell Hay un sospechoso matiz político en el rechazo a la huelga que los sindicatos mayoritarios del transporte manifiestan. Conviene que nadie se deje engañar por los “sindicalistas comprados” ultras,  hay un sospechoso matiz pol tico en el rechazo a la huelga que los sindicatos mayoritarios del transporte manifiestan  conviene que nadie se deje enga ar por los  sindicalistas comprados  ultras,aburrido_de,es,8,0,2019-10-14 09:23:37+00:00,2732,False,40208,Cantabria ,,1504963322478841857
153,2022-03-18 23:29:26+00:00,RT @ManuelMarcosSan: Aquí otro de los jefes de Podemos apoyando la huelga de los trabajadores del transporte y la labor de los piquetes y d…, aqu  otro de los jefes de podemos apoyando la huelga de los trabajadores del transporte y la labor de los piquetes y d ,olatoni,es,0,3,2011-09-13 14:29:11+00:00,1538,False,315334,"Sabadell, España",,1504963217801498627
154,2022-03-18 23:29:11+00:00,RT @Telegrafia01: Buenos días a todos y sobretodo a l@s  trabajadores del transporte en huelga y a los piquetes . Sin vosotr@s no hay democ…, buenos d as a todos y sobretodo a l   trabajadores del transporte en huelga y a los piquetes   sin vosotr  no hay democ ,javib1919,es,0,112,2017-08-08 12:10:23+00:00,416,False,32842,,,1504963152659759104
158,2022-03-18 23:28:38+00:00,RT @arnaiz_pili: @maricarmenjeje @AngelitoLuis36 @numer344 Si no me entiendes la repito porque es al contrario hacen huelga por eso la gaso…,       si no me entiendes la repito porque es al contrario hacen huelga por eso la gaso ,maricarmenjeje,es,0,1,2014-11-04 21:33:36+00:00,2095,False,211439,,,1504963016965726211
167,2022-03-18 23:27:53+00:00,"RT @DebatAlRojoVivo: 🔴 Ana Díaz es transportista autónoma y protesta en O Corgo, Lugo: ""Estamos trabajando a pérdidas, estamos poniendo nue…",   ana d az es transportista aut noma y protesta en o corgo  lugo   estamos trabajando a p rdidas  estamos poniendo nue ,Nosoysanchista,es,0,10,2022-02-04 13:57:14+00:00,15,False,944,"Bilbao, España",,1504962825189482496
168,2022-03-18 23:27:52+00:00,"Comprendo y cualquier persona razonable debe estar a favor de la solución negociada de la huelga del transporte, pero los animales no entienden de estas cuitas, NECESITAN URGENTEMENTE PIENSO! 
¡¡¡Arréglense ya!!!",comprendo y cualquier persona razonable debe estar a favor de la soluci n negociada de la huelga del transporte  pero los animales no entienden de estas cuitas  necesitan urgentemente pienso      arr glense ya   ,GanaderiaGavira,es,6,3,2015-09-09 06:39:31+00:00,4103,False,1129,"Soto de Roma, Los Barrios ",,1504962824367448065
171,2022-03-18 23:27:09+00:00,RT @juanlula: ❓ Porqué están tan contentos las derechas y sus voceros con la huelga de transporte❓,   porqu  est n tan contentos las derechas y sus voceros con la huelga de transporte ,PilarNa86136526,es,0,34,2019-07-07 16:16:37+00:00,786,False,175654,,,1504962643412590594
172,2022-03-18 23:27:07+00:00,"RT @lyuva26: NO es una huelga de transporte.
ES una huelga de la Patronal.
No tienen vergüenza, FASCISTAS.
 #HuelgaPatronal", no es una huelga de transporte  es una huelga de la patronal  no tienen verg enza  fascistas    huelgapatronal,piera_jordi,es,0,30,2012-03-03 10:36:33+00:00,665,False,2815,L´Hospitalet,,1504962636051591172
185,2022-03-18 23:25:22+00:00,"La patronal del transporte está contra la huelga....
Quienes se han puesto en huelga son los camioneros autónomos....que ya no pueden más....y este lumbreras pidiendo solidaridad....
Que el Gobierno negocie o asuma su responsabilidad en el desabastecimiento
Y lo sabes!!! https://t.co/PBcjUkN3yq",la patronal del transporte est  contra la huelga     quienes se han puesto en huelga son los camioneros aut nomos    que ya no pueden m s    y este lumbreras pidiendo solidaridad     que el gobierno negocie o asuma su responsabilidad en el desabastecimiento y lo sabes     ,YlosabesLo,es,6,0,2020-10-11 21:30:04+00:00,8272,False,19257,,,1504962192512327682
