,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
0,2022-03-19 23:59:43+00:00,RT @elcomerciodigit: Transportistas y ganaderos llevan sus protestas a las calles de Oviedo #Asturias #HuelgaTransporte https://t.co/SgMQU2…, transportistas y ganaderos llevan sus protestas a las calles de oviedo  asturias  huelgatransporte  ,crjstales1,es,0,25,2021-04-18 09:51:37+00:00,66,False,21200,,,1505333226226733059
1,2022-03-19 23:57:55+00:00,"RT @MarDGamero: La Ministra de Transporte sobre la huelga del sector 
 “Yo no me voy a sentar con un grupo de radicales que utiliza la viol…", la ministra de transporte sobre la huelga del sector    yo no me voy a sentar con un grupo de radicales que utiliza la viol ,jadroher,es,0,2294,2009-06-27 08:54:06+00:00,261,False,6847,"Sanlúcar de Barrameda, España",,1505332771186778112
2,2022-03-19 23:57:17+00:00,"RT @elmundoes: No usar los términos ""huelga"" y ""piquete"" e informar de las ""reuniones ilegales""... Las instrucciones del Gobierno a la Guar…", no usar los t rminos  huelga  y  piquete  e informar de las  reuniones ilegales     las instrucciones del gobierno a la guar ,rbolgn,es,0,359,2010-01-29 12:20:02+00:00,808,False,85426,España,,1505332615649370114
3,2022-03-19 23:57:15+00:00,"RT @JuanPoloGarcia1: En 1972, la derecha chilena promovió y alentó una huelga del transporte que colapsara la economía y que con ese pretex…", en 1972  la derecha chilena promovi  y alent  una huelga del transporte que colapsara la econom a y que con ese pretex ,Paulo8830,es,0,64,2012-05-25 02:07:36+00:00,268,False,60249,"Madrid, Comunidad de Madrid",,1505332605318840330
4,2022-03-19 23:56:53+00:00,RT @Elsepulturero4: Abascal defiende la huelga del transporte y dice que la izquierda “quiere tener el monopolio de la violencia” de los ..…, abascal defiende la huelga del transporte y dice que la izquierda  quiere tener el monopolio de la violencia  de los    ,LFMA15,es,0,2,2020-06-14 12:09:50+00:00,87,False,27126,,,1505332511081209858
5,2022-03-19 23:56:33+00:00,"@tinamonge España al borde de un estallido social y La Monge ni un solo tuit sobre:

-Huelga transporte
-Manifestación del campo
-Fiscalia socialista condenada oír la justicia.",  espa a al borde de un estallido social y la monge ni un solo tuit sobre    huelga transporte  manifestaci n del campo  fiscalia socialista condenada o r la justicia ,Democracia__Ley,es,0,0,2020-01-28 19:28:33+00:00,287,False,2701,,,1505332429875261442
6,2022-03-19 23:56:27+00:00,"RT @JosPastr: Yo creo que llamarlos fascistas, marionetas de Putin y acusarlos de haberse lucrado durante la pandemia gracias al sufrimient…", yo creo que llamarlos fascistas  marionetas de putin y acusarlos de haberse lucrado durante la pandemia gracias al sufrimient ,his30059380,es,0,1354,2020-03-13 21:54:53+00:00,220,False,150110,,,1505332405783220231
7,2022-03-19 23:56:20+00:00,RT @SecretarioGen: Hay una extraordinaria preocupación en @JUCIL por que Interior exija a la @guardiacivil  más contundencia para restringi…, hay una extraordinaria preocupaci n en   por que interior exija a la    m s contundencia para restringi ,Juana78201234,es,0,678,2022-03-14 20:09:05+00:00,167,False,31,,,1505332372983750669
8,2022-03-19 23:56:18+00:00,"RT @laSextaTV: ""Esto no es una huelga. El artículo 28 de la Constitución Española deja muy claro qué es una huelga y quién puede convocar u…",  esto no es una huelga  el art culo 28 de la constituci n espa ola deja muy claro qu  es una huelga y qui n puede convocar u ,mariopress,es,0,33,2009-12-21 18:43:39+00:00,4215,False,65617,"Madrid, Comunidad de Madrid",,1505332366377734144
9,2022-03-19 23:56:08+00:00,"RT @hernandezcapri1: La Ministra de Transporte:
 “Yo no me voy a sentar con un grupo de radicales que utiliza la violencia,la huelga del tr…", la ministra de transporte    yo no me voy a sentar con un grupo de radicales que utiliza la violencia la huelga del tr ,palome123,es,0,356,2018-09-16 17:06:47+00:00,50,False,13963,,,1505332326368219139
11,2022-03-19 23:55:24+00:00,"RT @fcojavierubio: Huelga de transporte, última hora | ""Preocupación"" en la Guardia Civil por las instrucciones del Gobierno pidiendo ""más…", huelga de transporte   ltima hora    preocupaci n  en la guardia civil por las instrucciones del gobierno pidiendo  m s ,fjarago,es,0,14,2018-04-20 08:47:34+00:00,630,False,391840,"Castellón de la Plana, España",,1505332138161356801
13,2022-03-19 23:54:26+00:00,"RT @52municipios: Las calles la incendian la patronal del transporte, no los conductores; hacen barricadas los agricultores, no los jornale…", las calles la incendian la patronal del transporte  no los conductores  hacen barricadas los agricultores  no los jornale ,zilar_ametsak,es,0,218,2018-04-29 07:41:36+00:00,2394,False,147687,,,1505331897789988871
14,2022-03-19 23:54:17+00:00,RT @anluma99: No es una HUELGA. No es una coincidencia la simultaneidad entre la presentación del sindicato de Vox  y un paro patronal del…, no es una huelga  no es una coincidencia la simultaneidad entre la presentaci n del sindicato de vox  y un paro patronal del ,JErro89514609,es,0,510,2020-04-10 13:22:41+00:00,855,False,292215,"Gijón, España",,1505331857239547913
15,2022-03-19 23:54:13+00:00,RT @nhc1101111: Peligro de colapso en varios sectores por la huelga del transporte -  https://t.co/CBl9oWrGWe, peligro de colapso en varios sectores por la huelga del transporte     ,cthulho,es,0,1,2018-04-03 14:03:54+00:00,278,False,7981,Perdido y siguiendo estrellas,,1505331842840412172
16,2022-03-19 23:54:05+00:00,#ParoTransporte 🛑🚛 Tranquilidad en el día 6 de la huelga a la espera de la reunión del lunes https://t.co/hvmhi8yc5r, parotransporte    tranquilidad en el d a 6 de la huelga a la espera de la reuni n del lunes  ,elprogreso_Lugo,es,1,0,2011-01-20 20:45:35+00:00,30497,True,358,"Lugo, Galicia, España",,1505331806350020609
18,2022-03-19 23:53:36+00:00,#ParoTransporte 🛑🚛 Tranquilidad en el día 6 de la huelga a la espera de la reunión del lunes https://t.co/tDHpSFUguz, parotransporte    tranquilidad en el d a 6 de la huelga a la espera de la reuni n del lunes  ,Diario_Pontev,es,0,0,2010-11-18 16:22:59+00:00,19062,False,91,Pontevedra (Galicia-Spain),,1505331688523636745
