,Created_at,Text,Clean Text,ID,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,Screen_Name
0,2022-03-21 23:59:31+00:00,"RT @Jero_NOM_Fuck: 🧵1/2

La Asociación Nacional de Estaciones Automáticas (Aesae) ha advertido que la huelga de transporte que ya afecta a…",  1 2  la asociaci n nacional de estaciones autom ticas  aesae  ha advertido que la huelga de transporte que ya afecta a ,1506057953362776069,es,0,31,2013-08-24 19:50:30+00:00,120,False,25623,,,jonupe7
1,2022-03-21 23:58:43+00:00,"Lo que el Gobierno no entiende es que la Huelga del transporte es una huelga de toda España! 500 millones que se perderán por el camino pero tú mientras pagando el gasóleo a 2€, ¿como las ayudas a la Palma?ya nadie os cree, bajada de impuestos o elecciones ya!
#huelgatransportes https://t.co/daG8rNJxAh",lo que el gobierno no entiende es que la huelga del transporte es una huelga de toda espa a  500 millones que se perder n por el camino pero t  mientras pagando el gas leo a 2    como las ayudas a la palma ya nadie os cree  bajada de impuestos o elecciones ya   huelgatransportes  ,1506057750870212608,es,17,16,2011-10-13 12:29:19+00:00,3420,False,46522,España,,grancapitan1977
2,2022-03-21 23:58:08+00:00,"RT @Macca15Paul: #Hora25 #CadenaSER Que dice Margallo que ""las alteraciones del orden público en la huelga de transporte son minoritarias"".…",  hora25  cadenaser que dice margallo que  las alteraciones del orden p blico en la huelga de transporte son minoritarias   ,1506057604396634121,es,0,56,2015-10-14 07:42:36+00:00,3639,False,79840,,,gleditsia66
3,2022-03-21 23:58:06+00:00,"RT @Francis21280450: .
Que dicen los de la ""Platafomma"" del Transporte que hasta que su Señorito, que está cazando, no se lo mandé no suspe…",   que dicen los de la  platafomma  del transporte que hasta que su se orito  que est  cazando  no se lo mand  no suspe ,1506057595664142338,es,0,106,2020-12-02 20:10:58+00:00,505,False,20583,,,MCBARJAT_1970
4,2022-03-21 23:58:03+00:00,"RT @el_pais: 🔴 ÚLTIMA HORA | La Plataforma del Transporte, convocante de la protesta de los camioneros, rechaza el acuerdo con las asociaci…",    ltima hora   la plataforma del transporte  convocante de la protesta de los camioneros  rechaza el acuerdo con las asociaci ,1506057582775083011,es,0,846,2014-08-26 16:56:37+00:00,818,False,21759,,,migueldomingo88
5,2022-03-21 23:57:56+00:00,"RT @AmarillosEspana: 📣 COMUNICADO. 
La Patronal del Transporte por Carretera de Castilla y León se suma a la huelga. Sr @sanchezcastejon ,…",   comunicado   la patronal del transporte por carretera de castilla y le n se suma a la huelga  sr     ,1506057553058439173,es,0,2180,2015-02-03 19:19:28+00:00,80,False,35127,,,maribelggarcia1
10,2022-03-21 23:57:47+00:00,"@el_pais Lo que el Gobierno no entiende es que la Huelga del transporte es una huelga de toda España! 500 millones que se perderán por el camino pero tú mientras pagando el gasóleo a 2€, ¿como las ayudas a la Palma?ya nadie os cree, bajada de impuestos o elecciones ya!
#huelgatransportes https://t.co/BhsaA1F7oS",  pais lo que el gobierno no entiende es que la huelga del transporte es una huelga de toda espa a  500 millones que se perder n por el camino pero t  mientras pagando el gas leo a 2    como las ayudas a la palma ya nadie os cree  bajada de impuestos o elecciones ya   huelgatransportes  ,1506057514789613573,es,19,3,2011-10-13 12:29:19+00:00,3420,False,46522,España,,grancapitan1977
13,2022-03-21 23:57:06+00:00,RT @Agencia_FARO: España. La Plataforma de Defensa del Sector del Transporte de Mercancías por Carretera desmiente que el Ministerio de Tra…, espa a  la plataforma de defensa del sector del transporte de mercanc as por carretera desmiente que el ministerio de tra ,1506057345381580802,es,0,2,2013-04-28 15:25:10+00:00,956,False,25291,,,manuel__mgs
14,2022-03-21 23:57:05+00:00,"@natiol77 Me encanta.. hay más empresas de transporte que camioneros por lo visto.
Porque hasta hace dos días eran 100 mil camioneros de la patronal.
Ahora cuadra porque la huelga.. se revientan el mercado entre ellos",  me encanta   hay m s empresas de transporte que camioneros por lo visto  porque hasta hace dos d as eran 100 mil camioneros de la patronal  ahora cuadra porque la huelga   se revientan el mercado entre ellos,1506057338746200066,es,0,0,2022-03-18 17:04:30+00:00,8,False,190,,,Ivi_ortz
17,2022-03-21 23:55:37+00:00,"RT @andresmt96: UE: Hay que fomentar el uso del ferrocarril para el tráfico de mercancías hacia el 30% para 2030.

España: 95% del transpor…", ue  hay que fomentar el uso del ferrocarril para el tr fico de mercanc as hacia el 30  para 2030   espa a  95  del transpor ,1506056971060924422,es,0,42,2011-11-22 18:16:07+00:00,915,False,28593,,,ManelFerri
