,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
0,2022-03-29 23:50:42+00:00,"RT @PanamaSuiza: Ningún transportista puede soportar una huelga indefinida.
El principal enemigo en el Transporte es ese Transportista pira…", ning n transportista puede soportar una huelga indefinida  el principal enemigo en el transporte es ese transportista pira ,cheloserradilla,es,0,41,2012-01-21 00:22:02+00:00,1536,False,348868,navarrete,,1508954834258604032
2,2022-03-29 23:44:14+00:00,"RT @ConguitoF1: Llevaba sin escuchar la palabra COVID en la televisión un par de semanas, casualmente se acerca la Semana Santa y pierde fu…", llevaba sin escuchar la palabra covid en la televisi n un par de semanas  casualmente se acerca la semana santa y pierde fu ,Aiben251,es,0,20,2021-09-10 12:23:12+00:00,51,False,37159,España,,1508953210312134657
4,2022-03-29 23:40:49+00:00,"Huelga de transporte, última hora | La rebaja en el combustible se aplicará desde el viernes al repostar y se sumará a los descuentos de las petroleras https://t.co/hKda0tJBFy",huelga de transporte   ltima hora   la rebaja en el combustible se aplicar  desde el viernes al repostar y se sumar  a los descuentos de las petroleras  ,fe_quintanilla,es,0,0,2011-03-26 17:03:38+00:00,793,False,7576, Madrid España,,1508952346935635980
5,2022-03-29 23:39:12+00:00,"RT @quemaruedas: @LRsecreta 16 días llevamos de huelga en el transporte, y nadie , repito, nadie, se no ha unido.
Todo el mundo se queja, p…",   16 d as llevamos de huelga en el transporte  y nadie   repito  nadie  se no ha unido  todo el mundo se queja  p ,curicornio70,es,0,54,2011-10-21 17:24:19+00:00,207,False,28792,,,1508951943368122372
6,2022-03-29 23:37:39+00:00,"RT @RealSeasonNT1: Pandemia,Guerra, subida del acero, ahora la huelga de transporte, subidas de luz y gasoil...y sigue llevando buen ritmo…", pandemia guerra  subida del acero  ahora la huelga de transporte  subidas de luz y gasoil   y sigue llevando buen ritmo ,Tiburon1Blanco3,es,0,8,2016-01-03 06:03:20+00:00,420,False,40132,"South Gate, CA",,1508951551452200961
8,2022-03-29 23:32:33+00:00,RT @teleSURtv: La huelga del sector transportista en #España🇪🇸 convocada por la Plataforma Nacional en Defensa del Transporte por Carretera…, la huelga del sector transportista en  espa a   convocada por la plataforma nacional en defensa del transporte por carretera ,yanceg27,es,0,11,2013-06-25 19:31:03+00:00,277,False,41,"Maracay, Venezuela",,1508950267911454727
11,2022-03-29 23:28:38+00:00,"Pandemia,Guerra, subida del acero, ahora la huelga de transporte, subidas de luz y gasoil...y sigue llevando buen ritmo

Por qué? Pq es un proyecto muy bien estructurado a todos los niveles desde hace casi 10 años

Por eso siempre os digo que Tito proyecta por décadas todo https://t.co/mhMSatNUEc",pandemia guerra  subida del acero  ahora la huelga de transporte  subidas de luz y gasoil   y sigue llevando buen ritmo  por qu   pq es un proyecto muy bien estructurado a todos los niveles desde hace casi 10 a os  por eso siempre os digo que tito proyecta por d cadas todo  ,RealSeasonNT1,es,101,8,2021-07-12 20:00:33+00:00,37831,False,5123,Depende del momento,,1508949282342252547
12,2022-03-29 23:23:41+00:00,RT @cla260526: Quería decirle al propietario de @Mercadona que deseo disfrute de la usura que ha ejercido durante los días de huelga del tr…, quer a decirle al propietario de   que deseo disfrute de la usura que ha ejercido durante los d as de huelga del tr ,LobEsteparia,es,0,2,2017-06-30 20:08:04+00:00,138,False,6673,Málaga ♻️ Madrid ,,1508948037980336133
14,2022-03-29 23:21:42+00:00,RT @amade_mad: Pilar Ramos ha intervenido en @EspejoPublico para explicar cómo está afectando la huelga del transporte: “Las #Residencias s…, pilar ramos ha intervenido en   para explicar c mo est  afectando la huelga del transporte   las  residencias s ,Cristin77460827,es,0,3,2019-04-05 18:42:04+00:00,40,False,1338,"Madrid, Comunidad de Madrid",,1508947538694529035
15,2022-03-29 23:01:23+00:00,"RT @egtegain: La Ministra de Transporte y Sánchez no quieren un acuerdo Global con los Transportistas en Huelga, pero El @PSOE registra en…", la ministra de transporte y s nchez no quieren un acuerdo global con los transportistas en huelga  pero el   registra en ,jota_jota_74,es,0,43,2010-01-02 02:27:08+00:00,183,False,27707,,,1508942425284304901
17,2022-03-29 23:00:01+00:00,El Gaitero deja de producir sidra y da vacaciones al personal por la huelga del transporte https://t.co/Nt9ONJI47A,el gaitero deja de producir sidra y da vacaciones al personal por la huelga del transporte  ,epmediterraneo,es,1,0,2010-12-26 18:44:14+00:00,25669,True,2405,"Castellón, España",,1508942081330499585
20,2022-03-29 22:52:13+00:00,"RT @europapress: El presidente de la Plataforma para la Defensa del Sector del Transporte de Mercancías por Carretera, Manuel Hernández, di…", el presidente de la plataforma para la defensa del sector del transporte de mercanc as por carretera  manuel hern ndez  di ,jesus73066278,es,0,19,2022-02-08 10:15:58+00:00,156,False,912,,,1508940115938267145
22,2022-03-29 22:48:51+00:00,"RT @Soledad_almeria: Asimismo, informamos que el boletín fue impreso la semana pasada pero la entrega en la Hermandad, se está viendo afect…", asimismo  informamos que el bolet n fue impreso la semana pasada pero la entrega en la hermandad  se est  viendo afect ,SemanadePasion5,es,0,7,2020-08-19 23:28:19+00:00,218,False,2938,"Almería, España",,1508939270140092417
23,2022-03-29 22:48:42+00:00,"RT @dbollero: La Plataforma continúa los paros ignorando el acuerdo alcanzado con los representantes legítimos de los transportistas y, sin…", la plataforma contin a los paros ignorando el acuerdo alcanzado con los representantes leg timos de los transportistas y  sin ,Lastk,es,0,3,2008-04-29 07:49:23+00:00,299,False,68117,Málaga,,1508939231313506313
